"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Bailey, Patrick",672275,28.313260614263935,,,,,28.313260614263935,22.489998404070963,6.187276754863918,-0.3640145446709244,2724,2724,0,0,0,0,0,0,0
"Kirk, Alejandro",672386,17.37368206371456,,,,,17.37368206371456,11.862998588560895,4.765127458571331,0.7455560165823284,2298,2298,0,0,0,0,0,0,0
"Young, Jacob",696285,16.7869135630647,16.7869135630647,18.34280191917698,-1.555888356112282,,,,,,3755,0,0,0,0,0,0,3755,0
"Giménez, Andrés",665926,16.467807458155747,16.467807458155747,13.977842758091121,-0.055169550530415445,2.54513425059505,,,,,3993,0,0,3993,0,0,0,0,0
"Varsho, Daulton",662139,15.703063143046753,15.703063143046753,13.353040604511223,2.3500225385355384,,,,,,3256,0,0,0,0,0,1213,2016,27
"Crow-Armstrong, Pete",691718,15.66911672707237,15.66911672707237,11.924521945622542,3.7445947814498264,,,,,,2897,0,0,0,0,0,0,2897,0
"Tovar, Ezequiel",678662,15.537353116396647,15.537353116396647,11.094828698810565,0.008760031780793879,4.4337643858052935,,,,,4127,0,0,0,0,4127,0,0,0
"Raleigh, Cal",663728,15.04937445525943,,,,,15.04937445525943,12.740270914540677,2.7249575065639746,-0.4158539658452219,3366,3366,0,0,0,0,0,0,0
"Siri, Jose",642350,14.660395656062486,14.660395656062486,14.165225547840246,0.4951701082222412,,,,,,3149,0,3,0,0,0,0,3146,0
"Doyle, Brenton",686668,14.314848139509508,14.314848139509508,12.881524083311646,1.4333240561978589,,,,,,3728,0,0,0,0,0,0,3728,0
"Semien, Marcus",543760,14.065500350154837,14.065500350154837,14.105686336574234,-0.0009392293001877195,-0.03924675711920464,,,,,4148,0,0,4148,0,0,0,0,0
"Lindor, Francisco",596019,13.47593634878663,13.47593634878663,11.459882109933819,0.056347798717175025,1.959706440135631,,,,,3935,0,0,0,0,3935,0,0,0
"Siani, Michael",672279,12.689396276260938,12.689396276260938,14.127606181607197,-1.4382099053462618,,,,,,2632,0,0,0,0,0,54,2515,63
"Swanson, Dansby",621020,12.357478954350977,12.357478954350977,13.04921368626527,0.02998786989178403,-0.7217226018060734,,,,,3820,0,0,0,0,3820,0,0,0
"Wells, Austin",669224,11.776788867798436,,,,,11.776788867798436,10.88012322880333,-0.16749824020337578,1.0641638791984809,2617,2617,0,0,0,0,0,0,0
"Witt Jr., Bobby",677951,11.43917374023108,11.43917374023108,11.509104246778138,0.3445877292444859,-0.41451823579153957,,,,,4181,0,0,0,0,4181,0,0,0
