"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Merrifield, Whit","593160","2022","550","427",0.25,0.242,0.008000000000000007,0.375,0.381,-0.006000000000000005,0.294,0.297,-0.0030000000000000027
"Rizzo, Anthony","519203","2022","548","366",0.224,0.236,-0.011999999999999983,0.48,0.47,0.010000000000000009,0.352,0.352,0
"Thomas, Lane","657041","2022","548","371",0.241,0.222,0.01899999999999999,0.404,0.371,0.03300000000000003,0.308,0.291,0.017000000000000015
"Winker, Jesse","608385","2022","547","356",0.219,0.247,-0.027999999999999997,0.344,0.411,-0.067,0.313,0.346,-0.032999999999999974
"Donaldson, Josh","518626","2022","546","336",0.222,0.212,0.010000000000000009,0.374,0.382,-0.008000000000000007,0.302,0.302,0
"Escobar, Eduardo","500871","2022","542","372",0.24,0.243,-0.0030000000000000027,0.43,0.449,-0.019000000000000017,0.311,0.321,-0.010000000000000009
"Canha, Mark","592192","2022","542","369",0.266,0.246,0.020000000000000018,0.403,0.379,0.02400000000000002,0.343,0.328,0.015000000000000013
"Estrada, Thairo","642731","2022","541","405",0.26,0.246,0.014000000000000012,0.4,0.362,0.038000000000000034,0.317,0.302,0.015000000000000013
"Kirk, Alejandro","672386","2022","541","416",0.285,0.275,0.009999999999999953,0.415,0.447,-0.03200000000000003,0.347,0.354,-0.007000000000000006
"LeMahieu, DJ","518934","2022","541","399",0.261,0.271,-0.010000000000000009,0.377,0.416,-0.03899999999999998,0.329,0.347,-0.01799999999999996
"Grichuk, Randal","545341","2022","538","381",0.259,0.23,0.028999999999999998,0.425,0.388,0.03699999999999998,0.315,0.288,0.027000000000000024
"Hernández, Teoscar","606192","2022","535","347",0.267,0.263,0.0040000000000000036,0.491,0.523,-0.03200000000000003,0.348,0.357,-0.009000000000000008
"Melendez, MJ","669004","2022","534","336",0.217,0.237,-0.01999999999999999,0.393,0.427,-0.033999999999999975,0.31,0.336,-0.026000000000000023
"Wisdom, Patrick","621550","2022","534","289",0.207,0.187,0.01999999999999999,0.426,0.395,0.030999999999999972,0.316,0.298,0.018000000000000016
"Mateo, Jorge","622761","2022","533","352",0.221,0.222,-0.0010000000000000009,0.379,0.356,0.02300000000000002,0.281,0.276,0.0050000000000000044
"Acuña Jr., Ronald","660670","2022","533","344",0.266,0.27,-0.0040000000000000036,0.413,0.496,-0.08300000000000002,0.335,0.368,-0.032999999999999974
"Turner, Justin","457759","2022","532","387",0.278,0.266,0.01200000000000001,0.438,0.447,-0.009000000000000008,0.343,0.345,-0.0019999999999999463
"Kiner-Falefa, Isiah","643396","2022","531","419",0.261,0.261,0,0.327,0.339,-0.01200000000000001,0.285,0.292,-0.007000000000000006
"Pollock, AJ","572041","2022","527","395",0.245,0.259,-0.014000000000000012,0.389,0.44,-0.05099999999999999,0.297,0.324,-0.027000000000000024
"Grisham, Trent","663757","2022","524","310",0.184,0.203,-0.019000000000000017,0.341,0.37,-0.02899999999999997,0.28,0.298,-0.01799999999999996
"Renfroe, Hunter","592669","2022","522","358",0.255,0.237,0.018000000000000016,0.492,0.448,0.043999999999999984,0.347,0.324,0.022999999999999965
"Benintendi, Andrew","643217","2022","521","390",0.304,0.273,0.030999999999999972,0.399,0.423,-0.023999999999999966,0.342,0.34,0.0020000000000000018
"Hoerner, Nico","663538","2022","517","426",0.281,0.273,0.008000000000000007,0.41,0.384,0.025999999999999968,0.32,0.309,0.01100000000000001
"Rengifo, Luis","650859","2022","511","411",0.264,0.254,0.010000000000000009,0.429,0.403,0.025999999999999968,0.314,0.299,0.015000000000000013
"Rojas, Josh","668942","2022","510","355",0.269,0.239,0.030000000000000027,0.391,0.373,0.018000000000000016,0.326,0.308,0.018000000000000016
"Schoop, Jonathan","570731","2022","510","378",0.202,0.228,-0.025999999999999995,0.322,0.356,-0.033999999999999975,0.245,0.275,-0.030000000000000027
"Rojas, Miguel","500743","2022","507","414",0.236,0.259,-0.02300000000000002,0.323,0.354,-0.030999999999999972,0.268,0.292,-0.023999999999999966
"Aguilar, Jesús","542583","2022","507","350",0.235,0.239,-0.0040000000000000036,0.379,0.409,-0.02999999999999997,0.288,0.302,-0.014000000000000012
"Ozuna, Marcell","542303","2022","507","352",0.226,0.25,-0.023999999999999994,0.413,0.49,-0.07700000000000001,0.298,0.337,-0.039000000000000035
"Cruz, Nelson","443558","2022","507","332",0.234,0.239,-0.004999999999999977,0.337,0.41,-0.07299999999999995,0.292,0.322,-0.030000000000000027
"Santana, Carlos","467793","2022","506","345",0.202,0.252,-0.04999999999999999,0.376,0.456,-0.08000000000000002,0.308,0.356,-0.04799999999999999
"Marte, Starling","516782","2022","505","369",0.292,0.275,0.01699999999999996,0.468,0.436,0.03200000000000003,0.355,0.337,0.01799999999999996
"Dozier, Hunter","641531","2022","500","338",0.236,0.242,-0.006000000000000005,0.387,0.401,-0.014000000000000012,0.298,0.306,-0.008000000000000007
"Perdomo, Geraldo","672695","2022","500","342",0.195,0.215,-0.01999999999999999,0.262,0.294,-0.03199999999999997,0.253,0.274,-0.02100000000000002
"Trout, Mike","545361","2022","499","300",0.283,0.263,0.019999999999999962,0.63,0.604,0.026000000000000023,0.418,0.398,0.019999999999999962
"Naylor, Josh","647304","2022","498","374",0.256,0.254,0.0020000000000000018,0.452,0.441,0.01100000000000001,0.331,0.329,0.0020000000000000018
"Wong, Kolten","543939","2022","497","349",0.251,0.234,0.016999999999999987,0.43,0.366,0.064,0.336,0.309,0.027000000000000024
"Gurriel Jr., Lourdes","666971","2022","493","372",0.291,0.271,0.019999999999999962,0.4,0.412,-0.011999999999999955,0.327,0.325,0.0020000000000000018
"Espinal, Santiago","669289","2022","491","385",0.267,0.26,0.007000000000000006,0.37,0.354,0.016000000000000014,0.305,0.298,0.007000000000000006
"Peralta, David","444482","2022","490","331",0.251,0.248,0.0030000000000000027,0.415,0.418,-0.0030000000000000027,0.315,0.317,-0.0020000000000000018
"Carlson, Dylan","666185","2022","488","342",0.236,0.234,0.001999999999999974,0.38,0.367,0.013000000000000012,0.306,0.304,0.0020000000000000018
"Contreras, Willson","575929","2022","487","315",0.243,0.255,-0.01200000000000001,0.466,0.48,-0.013999999999999957,0.357,0.369,-0.01200000000000001
"Miranda, Jose","669304","2022","483","354",0.268,0.252,0.016000000000000014,0.426,0.426,0,0.329,0.321,0.008000000000000007
"Lopez, Nicky","670032","2022","480","384",0.227,0.246,-0.01899999999999999,0.273,0.325,-0.05199999999999999,0.251,0.279,-0.028000000000000025
"Grossman, Robbie","543257","2022","477","286",0.209,0.205,0.0040000000000000036,0.311,0.322,-0.01100000000000001,0.283,0.287,-0.0040000000000000036
"Perez, Salvador","521692","2022","473","339",0.254,0.239,0.015000000000000013,0.465,0.481,-0.01599999999999996,0.324,0.324,0
"Reyes, Franmil","614177","2022","473","284",0.221,0.202,0.01899999999999999,0.365,0.378,-0.013000000000000012,0.28,0.28,0
"Miller, Owen","680911","2022","472","340",0.243,0.248,-0.0050000000000000044,0.351,0.353,-0.0020000000000000018,0.287,0.296,-0.009000000000000008
"Urías, Luis","649966","2022","472","312",0.239,0.235,0.0040000000000000036,0.404,0.41,-0.00599999999999995,0.327,0.328,-0.0010000000000000009
"Odor, Rougned","596059","2022","472","321",0.207,0.207,0,0.357,0.35,0.007000000000000006,0.278,0.28,-0.0020000000000000018
"Sánchez, Gary","596142","2022","471","288",0.205,0.216,-0.01100000000000001,0.377,0.448,-0.07100000000000001,0.29,0.321,-0.031000000000000028
"Lux, Gavin","666158","2022","471","329",0.276,0.243,0.03300000000000003,0.399,0.382,0.017000000000000015,0.328,0.315,0.013000000000000012
"Rutschman, Adley","668939","2022","470","315",0.254,0.243,0.01100000000000001,0.445,0.417,0.028000000000000025,0.354,0.341,0.012999999999999956
"Cooper, Garrett","643265","2022","469","300",0.261,0.258,0.0030000000000000027,0.415,0.454,-0.039000000000000035,0.33,0.345,-0.014999999999999958
"Donovan, Brendan","680977","2022","468","324",0.281,0.266,0.015000000000000013,0.379,0.378,0.0010000000000000009,0.349,0.342,0.006999999999999951
"Joe, Connor","656582","2022","467","308",0.238,0.24,-0.0020000000000000018,0.359,0.348,0.01100000000000001,0.314,0.313,0.0010000000000000009
