"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Nationals","WSH","2026","2164","1502",0.254,0.257,-0.0030000000000000027,0.421,0.452,-0.031000000000000028,0.334,0.344,-0.009999999999999953
"Angels","LAA","2026","2112","1364",0.241,0.24,0.0010000000000000009,0.378,0.392,-0.014000000000000012,0.323,0.326,-0.0030000000000000027
"Astros","HOU","2026","2104","1354",0.25,0.243,0.007000000000000006,0.421,0.402,0.01899999999999996,0.349,0.337,0.011999999999999955
"Rockies","COL","2026","2097","1495",0.277,0.27,0.007000000000000006,0.456,0.451,0.0050000000000000044,0.352,0.345,0.007000000000000006
"Athletics","ATH","2026","2065","1406",0.25,0.243,0.007000000000000006,0.418,0.397,0.020999999999999963,0.335,0.324,0.01100000000000001
"Reds","CIN","2026","2053","1381",0.249,0.259,-0.010000000000000009,0.431,0.442,-0.01100000000000001,0.345,0.352,-0.007000000000000006
"Orioles","BAL","2026","2048","1405",0.26,0.251,0.009000000000000008,0.432,0.413,0.019000000000000017,0.34,0.327,0.013000000000000012
"Guardians","CLE","2026","2041","1320",0.231,0.234,-0.0030000000000000027,0.379,0.392,-0.013000000000000012,0.307,0.311,-0.0040000000000000036
"Mets","NYM","2026","2033","1328",0.233,0.238,-0.004999999999999977,0.369,0.363,0.006000000000000005,0.307,0.305,0.0020000000000000018
"Phillies","PHI","2026","2031","1365",0.262,0.24,0.02200000000000002,0.398,0.379,0.019000000000000017,0.32,0.301,0.019000000000000017
"Pirates","PIT","2026","2029","1332",0.226,0.24,-0.013999999999999985,0.365,0.379,-0.014000000000000012,0.303,0.311,-0.008000000000000007
"Marlins","MIA","2026","2023","1344",0.226,0.232,-0.006000000000000005,0.368,0.386,-0.018000000000000016,0.306,0.312,-0.006000000000000005
"Twins","MIN","2026","2013","1386",0.242,0.239,0.0030000000000000027,0.385,0.392,-0.007000000000000006,0.318,0.317,0.0010000000000000009
"White Sox","CWS","2026","2005","1338",0.243,0.251,-0.008000000000000007,0.408,0.409,-0.0010000000000000009,0.331,0.333,-0.0020000000000000018
"Tigers","DET","2026","2002","1364",0.236,0.239,-0.0030000000000000027,0.379,0.381,-0.0020000000000000018,0.31,0.31,0
"Mariners","SEA","2026","1998","1368",0.25,0.251,-0.0010000000000000009,0.389,0.409,-0.019999999999999962,0.311,0.316,-0.0050000000000000044
"Giants","SF","2026","1997","1358",0.243,0.246,-0.0030000000000000027,0.395,0.39,0.0050000000000000044,0.322,0.319,0.0030000000000000027
"Royals","KC","2026","1993","1333",0.243,0.253,-0.010000000000000009,0.407,0.427,-0.020000000000000018,0.328,0.335,-0.007000000000000006
"Cardinals","STL","2026","1986","1389",0.254,0.268,-0.014000000000000012,0.392,0.446,-0.05399999999999999,0.326,0.347,-0.020999999999999963
"Braves","ATL","2026","1978","1296",0.207,0.225,-0.018000000000000016,0.344,0.365,-0.02100000000000002,0.286,0.298,-0.01200000000000001
"Blue Jays","TOR","2026","1977","1301",0.242,0.236,0.006000000000000005,0.372,0.372,0,0.305,0.301,0.0040000000000000036
"Cubs","CHC","2026","1962","1359",0.236,0.25,-0.014000000000000012,0.4,0.428,-0.02799999999999997,0.313,0.326,-0.013000000000000012
"Yankees","NYY","2026","1947","1299",0.223,0.227,-0.0040000000000000036,0.335,0.346,-0.010999999999999954,0.286,0.29,-0.0040000000000000036
"Padres","SD","2026","1941","1283",0.234,0.228,0.006000000000000005,0.365,0.363,0.0020000000000000018,0.307,0.301,0.006000000000000005
"D-backs","AZ","2026","1941","1393",0.24,0.255,-0.015000000000000013,0.395,0.437,-0.04199999999999998,0.312,0.33,-0.018000000000000016
"Red Sox","BOS","2026","1941","1322",0.239,0.252,-0.013000000000000012,0.387,0.42,-0.032999999999999974,0.312,0.327,-0.015000000000000013
"Rangers","TEX","2026","1896","1277",0.225,0.244,-0.01899999999999999,0.366,0.407,-0.04099999999999998,0.299,0.319,-0.020000000000000018
"Dodgers","LAD","2026","1894","1255",0.211,0.232,-0.02100000000000002,0.335,0.373,-0.03799999999999998,0.278,0.298,-0.019999999999999962
"Rays","TB","2026","1875","1321",0.227,0.253,-0.025999999999999995,0.373,0.419,-0.045999999999999985,0.296,0.321,-0.025000000000000022
"Brewers","MIL","2026","1846","1157",0.22,0.225,-0.0050000000000000044,0.341,0.343,-0.0020000000000000018,0.293,0.293,0
