"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Athletics","ATH","2026","5022","3386",0.27,0.249,0.02100000000000002,0.467,0.408,0.05900000000000005,0.355,0.327,0.02799999999999997
"Rockies","COL","2026","4995","3665",0.288,0.275,0.012999999999999956,0.491,0.463,0.02799999999999997,0.362,0.349,0.013000000000000012
"Nationals","WSH","2026","4967","3468",0.258,0.259,-0.0010000000000000009,0.43,0.435,-0.0050000000000000044,0.334,0.338,-0.0040000000000000036
"Pirates","PIT","2026","4956","3216",0.24,0.24,0,0.391,0.381,0.010000000000000009,0.315,0.311,0.0040000000000000036
"Reds","CIN","2026","4956","3329",0.246,0.248,-0.0020000000000000018,0.41,0.413,-0.0030000000000000027,0.328,0.331,-0.0030000000000000027
"Twins","MIN","2026","4927","3345",0.252,0.241,0.01100000000000001,0.412,0.398,0.013999999999999957,0.326,0.318,0.008000000000000007
"Mets","NYM","2026","4882","3209",0.237,0.236,0.0010000000000000009,0.392,0.376,0.016000000000000014,0.314,0.309,0.0050000000000000044
"Astros","HOU","2026","4869","3161",0.238,0.232,0.005999999999999978,0.405,0.387,0.018000000000000016,0.326,0.318,0.008000000000000007
"Cardinals","STL","2026","4861","3379",0.25,0.255,-0.0050000000000000044,0.392,0.412,-0.019999999999999962,0.316,0.326,-0.010000000000000009
"Phillies","PHI","2026","4860","3153",0.25,0.23,0.01999999999999999,0.405,0.363,0.04200000000000004,0.318,0.295,0.02300000000000002
"Royals","KC","2026","4854","3399",0.259,0.261,-0.0020000000000000018,0.435,0.421,0.014000000000000012,0.338,0.334,0.0040000000000000036
"Orioles","BAL","2026","4854","3379",0.254,0.247,0.007000000000000006,0.409,0.393,0.01599999999999996,0.32,0.314,0.006000000000000005
"Angels","LAA","2026","4847","3109",0.233,0.235,-0.001999999999999974,0.379,0.386,-0.007000000000000006,0.313,0.317,-0.0040000000000000036
"Blue Jays","TOR","2026","4846","3237",0.24,0.236,0.0040000000000000036,0.377,0.376,0.0010000000000000009,0.306,0.305,0.0010000000000000009
"White Sox","CWS","2026","4810","3210",0.238,0.244,-0.006000000000000005,0.391,0.391,0,0.314,0.318,-0.0040000000000000036
"D-backs","AZ","2026","4806","3516",0.252,0.261,-0.009000000000000008,0.417,0.444,-0.027000000000000024,0.32,0.334,-0.014000000000000012
"Cubs","CHC","2026","4793","3375",0.245,0.258,-0.013000000000000012,0.418,0.436,-0.018000000000000016,0.32,0.332,-0.01200000000000001
"Padres","SD","2026","4787","3256",0.243,0.235,0.008000000000000007,0.393,0.381,0.01200000000000001,0.315,0.307,0.008000000000000007
"Giants","SF","2026","4782","3301",0.246,0.246,0,0.387,0.386,0.0010000000000000009,0.316,0.317,-0.0010000000000000009
"Rangers","TEX","2026","4762","3272",0.249,0.249,0,0.413,0.406,0.006999999999999951,0.318,0.316,0.0020000000000000018
"Guardians","CLE","2026","4756","3109",0.238,0.234,0.003999999999999976,0.394,0.385,0.009000000000000008,0.31,0.306,0.0040000000000000036
"Marlins","MIA","2026","4747","3198",0.233,0.235,-0.001999999999999974,0.376,0.38,-0.0040000000000000036,0.305,0.308,-0.0030000000000000027
"Braves","ATL","2026","4740","3176",0.231,0.239,-0.00799999999999998,0.381,0.387,-0.006000000000000005,0.304,0.311,-0.007000000000000006
"Red Sox","BOS","2026","4715","3221",0.239,0.239,0,0.375,0.375,0,0.3,0.301,-0.0010000000000000009
"Tigers","DET","2026","4708","3218",0.231,0.234,-0.0030000000000000027,0.375,0.37,0.0050000000000000044,0.3,0.3,0
"Dodgers","LAD","2026","4700","3092",0.218,0.229,-0.01100000000000001,0.372,0.37,0.0020000000000000018,0.293,0.297,-0.0040000000000000036
"Mariners","SEA","2026","4682","3227",0.247,0.244,0.0030000000000000027,0.4,0.396,0.0040000000000000036,0.309,0.307,0.0020000000000000018
"Brewers","MIL","2026","4677","2996",0.219,0.223,-0.0040000000000000036,0.358,0.348,0.010000000000000009,0.289,0.288,0.0010000000000000009
"Yankees","NYY","2026","4666","3093",0.224,0.231,-0.007000000000000006,0.362,0.364,-0.0020000000000000018,0.291,0.296,-0.0050000000000000044
"Rays","TB","2026","4658","3257",0.233,0.252,-0.01899999999999999,0.399,0.42,-0.020999999999999963,0.301,0.318,-0.017000000000000015
