"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Nationals","WSH","2026","2370","1615",0.246,0.253,-0.007000000000000006,0.419,0.422,-0.0030000000000000027,0.329,0.331,-0.0020000000000000018
"Pirates","PIT","2026","2361","1540",0.253,0.248,0.0050000000000000044,0.398,0.409,-0.010999999999999954,0.328,0.328,0
"Cubs","CHC","2026","2360","1559",0.24,0.243,-0.0030000000000000027,0.388,0.405,-0.017000000000000015,0.324,0.329,-0.0050000000000000044
"Twins","MIN","2026","2312","1526",0.236,0.228,0.00799999999999998,0.386,0.375,0.01100000000000001,0.314,0.306,0.008000000000000007
"Angels","LAA","2026","2310","1481",0.231,0.233,-0.0020000000000000018,0.387,0.401,-0.014000000000000012,0.313,0.317,-0.0040000000000000036
"Astros","HOU","2026","2306","1582",0.244,0.251,-0.007000000000000006,0.409,0.422,-0.013000000000000012,0.322,0.327,-0.0050000000000000044
"Mariners","SEA","2026","2303","1512",0.233,0.245,-0.011999999999999983,0.396,0.414,-0.01799999999999996,0.318,0.328,-0.010000000000000009
"Rockies","COL","2026","2300","1532",0.246,0.24,0.006000000000000005,0.386,0.381,0.0050000000000000044,0.314,0.307,0.007000000000000006
"Dodgers","LAD","2026","2292","1568",0.262,0.267,-0.0050000000000000044,0.444,0.454,-0.010000000000000009,0.346,0.353,-0.007000000000000006
"Tigers","DET","2026","2289","1514",0.232,0.243,-0.010999999999999982,0.373,0.41,-0.03699999999999998,0.309,0.324,-0.015000000000000013
"Braves","ATL","2026","2289","1605",0.259,0.259,0,0.435,0.447,-0.01200000000000001,0.335,0.338,-0.0030000000000000027
"Guardians","CLE","2026","2282","1553",0.232,0.242,-0.009999999999999981,0.372,0.374,-0.0020000000000000018,0.311,0.314,-0.0030000000000000027
"Marlins","MIA","2026","2280","1546",0.243,0.234,0.00899999999999998,0.377,0.364,0.013000000000000012,0.312,0.302,0.010000000000000009
"White Sox","CWS","2026","2275","1472",0.239,0.241,-0.0020000000000000018,0.41,0.417,-0.007000000000000006,0.325,0.327,-0.0020000000000000018
"Athletics","ATH","2026","2272","1522",0.247,0.247,0,0.395,0.402,-0.007000000000000006,0.323,0.322,0.0010000000000000009
"Orioles","BAL","2026","2270","1486",0.239,0.247,-0.008000000000000007,0.395,0.41,-0.014999999999999958,0.319,0.326,-0.007000000000000006
"Reds","CIN","2026","2251","1451",0.23,0.244,-0.013999999999999985,0.395,0.424,-0.02899999999999997,0.316,0.331,-0.015000000000000013
"Royals","KC","2026","2243","1535",0.237,0.242,-0.0050000000000000044,0.378,0.388,-0.010000000000000009,0.308,0.313,-0.0050000000000000044
"Yankees","NYY","2026","2242","1454",0.243,0.25,-0.007000000000000006,0.436,0.441,-0.0050000000000000044,0.34,0.342,-0.0020000000000000018
"Blue Jays","TOR","2026","2240","1609",0.244,0.248,-0.0040000000000000036,0.38,0.377,0.0030000000000000027,0.307,0.306,0.0010000000000000009
"Rangers","TEX","2026","2239","1488",0.235,0.242,-0.007000000000000006,0.38,0.39,-0.010000000000000009,0.312,0.316,-0.0040000000000000036
"Giants","SF","2026","2233","1618",0.252,0.25,0.0020000000000000018,0.403,0.394,0.009000000000000008,0.309,0.303,0.006000000000000005
"Mets","NYM","2026","2226","1545",0.226,0.247,-0.02099999999999999,0.358,0.42,-0.062,0.291,0.319,-0.028000000000000025
"Cardinals","STL","2026","2206","1505",0.237,0.247,-0.010000000000000009,0.381,0.41,-0.02899999999999997,0.311,0.324,-0.013000000000000012
"Rays","TB","2026","2198","1550",0.259,0.243,0.016000000000000014,0.39,0.369,0.02100000000000002,0.325,0.309,0.016000000000000014
"Red Sox","BOS","2026","2196","1496",0.247,0.244,0.0030000000000000027,0.377,0.38,-0.0030000000000000027,0.312,0.311,0.0010000000000000009
"Brewers","MIL","2026","2195","1475",0.246,0.239,0.007000000000000006,0.366,0.376,-0.010000000000000009,0.315,0.314,0.0010000000000000009
"Phillies","PHI","2026","2193","1502",0.224,0.246,-0.021999999999999992,0.381,0.401,-0.020000000000000018,0.299,0.315,-0.016000000000000014
"D-backs","AZ","2026","2187","1548",0.243,0.248,-0.0050000000000000044,0.396,0.388,0.008000000000000007,0.312,0.312,0
"Padres","SD","2026","2112","1414",0.218,0.241,-0.022999999999999993,0.363,0.395,-0.03200000000000003,0.294,0.314,-0.020000000000000018
