"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Pirates","PIT","2026","1785","1168",0.251,0.248,0.0030000000000000027,0.395,0.407,-0.011999999999999955,0.329,0.328,0.0010000000000000009
"Cubs","CHC","2026","1773","1177",0.247,0.248,-0.0010000000000000009,0.404,0.414,-0.009999999999999953,0.335,0.335,0
"Astros","HOU","2026","1760","1209",0.253,0.258,-0.0050000000000000044,0.416,0.427,-0.01100000000000001,0.331,0.333,-0.0020000000000000018
"Mariners","SEA","2026","1746","1123",0.232,0.242,-0.009999999999999981,0.383,0.412,-0.02899999999999997,0.318,0.33,-0.01200000000000001
"Nationals","WSH","2026","1742","1171",0.241,0.252,-0.01100000000000001,0.407,0.417,-0.010000000000000009,0.324,0.33,-0.006000000000000005
"Guardians","CLE","2026","1732","1176",0.229,0.241,-0.011999999999999983,0.366,0.374,-0.008000000000000007,0.312,0.317,-0.0050000000000000044
"Twins","MIN","2026","1722","1126",0.236,0.23,0.005999999999999978,0.383,0.383,0,0.319,0.315,0.0040000000000000036
"Dodgers","LAD","2026","1718","1175",0.262,0.268,-0.006000000000000005,0.434,0.455,-0.02100000000000002,0.344,0.352,-0.008000000000000007
"Reds","CIN","2026","1711","1110",0.226,0.247,-0.02099999999999999,0.392,0.435,-0.04299999999999998,0.315,0.337,-0.02200000000000002
"Braves","ATL","2026","1708","1201",0.268,0.261,0.007000000000000006,0.446,0.453,-0.007000000000000006,0.342,0.338,0.0040000000000000036
"Angels","LAA","2026","1707","1064",0.228,0.228,0,0.379,0.388,-0.009000000000000008,0.314,0.314,0
"Cardinals","STL","2026","1704","1148",0.242,0.246,-0.0040000000000000036,0.393,0.414,-0.020999999999999963,0.32,0.326,-0.006000000000000005
"Phillies","PHI","2026","1703","1188",0.235,0.25,-0.015000000000000013,0.391,0.404,-0.013000000000000012,0.309,0.317,-0.008000000000000007
"Yankees","NYY","2026","1697","1084",0.236,0.246,-0.010000000000000009,0.433,0.447,-0.014000000000000012,0.338,0.344,-0.00599999999999995
"Tigers","DET","2026","1695","1124",0.242,0.252,-0.010000000000000009,0.387,0.43,-0.04299999999999998,0.321,0.336,-0.015000000000000013
"Royals","KC","2026","1695","1145",0.239,0.242,-0.0030000000000000027,0.385,0.391,-0.006000000000000005,0.315,0.318,-0.0030000000000000027
"Athletics","ATH","2026","1691","1136",0.253,0.251,0.0020000000000000018,0.408,0.414,-0.006000000000000005,0.328,0.325,0.0030000000000000027
"Rockies","COL","2026","1688","1110",0.245,0.24,0.0050000000000000044,0.395,0.386,0.009000000000000008,0.317,0.307,0.010000000000000009
"Orioles","BAL","2026","1686","1082",0.23,0.237,-0.0069999999999999785,0.375,0.385,-0.010000000000000009,0.312,0.316,-0.0040000000000000036
"Marlins","MIA","2026","1678","1141",0.242,0.235,0.007000000000000006,0.371,0.363,0.008000000000000007,0.311,0.303,0.008000000000000007
"White Sox","CWS","2026","1673","1066",0.234,0.245,-0.010999999999999982,0.401,0.426,-0.024999999999999967,0.324,0.335,-0.01100000000000001
"Red Sox","BOS","2026","1648","1105",0.235,0.238,-0.0030000000000000027,0.355,0.373,-0.018000000000000016,0.303,0.309,-0.006000000000000005
"Giants","SF","2026","1646","1181",0.24,0.246,-0.006000000000000005,0.365,0.371,-0.006000000000000005,0.291,0.292,-0.0010000000000000009
"Blue Jays","TOR","2026","1646","1200",0.245,0.251,-0.006000000000000005,0.373,0.383,-0.010000000000000009,0.306,0.309,-0.0030000000000000027
"Rays","TB","2026","1638","1167",0.259,0.244,0.015000000000000013,0.382,0.359,0.02300000000000002,0.32,0.303,0.017000000000000015
"Rangers","TEX","2026","1631","1073",0.229,0.238,-0.00899999999999998,0.363,0.381,-0.018000000000000016,0.304,0.312,-0.008000000000000007
"Mets","NYM","2026","1629","1144",0.225,0.247,-0.021999999999999992,0.347,0.412,-0.065,0.287,0.317,-0.030000000000000027
"Brewers","MIL","2026","1629","1094",0.245,0.235,0.010000000000000009,0.357,0.37,-0.013000000000000012,0.313,0.311,0.0020000000000000018
"Padres","SD","2026","1614","1087",0.223,0.244,-0.02099999999999999,0.363,0.396,-0.03300000000000003,0.294,0.314,-0.020000000000000018
"D-backs","AZ","2026","1583","1110",0.237,0.244,-0.007000000000000006,0.388,0.381,0.007000000000000006,0.308,0.307,0.0010000000000000009
