"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Nationals","WSH","2026","2109","1427",0.243,0.251,-0.008000000000000007,0.413,0.415,-0.0020000000000000018,0.326,0.328,-0.0020000000000000018
"Pirates","PIT","2026","2088","1362",0.249,0.245,0.0040000000000000036,0.386,0.397,-0.01100000000000001,0.323,0.322,0.0010000000000000009
"Cubs","CHC","2026","2072","1365",0.238,0.242,-0.0040000000000000036,0.389,0.404,-0.015000000000000013,0.326,0.329,-0.0030000000000000027
"Guardians","CLE","2026","2063","1405",0.228,0.239,-0.010999999999999982,0.373,0.375,-0.0020000000000000018,0.312,0.315,-0.0030000000000000027
"Braves","ATL","2026","2051","1440",0.26,0.256,0.0040000000000000036,0.431,0.439,-0.008000000000000007,0.334,0.332,0.0020000000000000018
"Athletics","ATH","2026","2050","1367",0.249,0.247,0.0020000000000000018,0.393,0.4,-0.007000000000000006,0.323,0.321,0.0020000000000000018
"Dodgers","LAD","2026","2040","1373",0.258,0.266,-0.008000000000000007,0.427,0.448,-0.02100000000000002,0.343,0.352,-0.008999999999999952
"Astros","HOU","2026","2038","1398",0.246,0.251,-0.0050000000000000044,0.406,0.416,-0.009999999999999953,0.323,0.325,-0.0020000000000000018
"Angels","LAA","2026","2033","1287",0.225,0.231,-0.006000000000000005,0.377,0.399,-0.02200000000000002,0.31,0.317,-0.007000000000000006
"Mariners","SEA","2026","2029","1313",0.225,0.239,-0.013999999999999985,0.375,0.404,-0.029000000000000026,0.311,0.326,-0.015000000000000013
"Tigers","DET","2026","2026","1344",0.233,0.246,-0.012999999999999984,0.368,0.416,-0.04799999999999999,0.308,0.327,-0.019000000000000017
"Twins","MIN","2026","2022","1330",0.24,0.231,0.00899999999999998,0.389,0.38,0.009000000000000008,0.321,0.312,0.009000000000000008
"Rockies","COL","2026","2015","1347",0.243,0.238,0.0050000000000000044,0.377,0.373,0.0040000000000000036,0.308,0.301,0.007000000000000006
"Marlins","MIA","2026","2012","1365",0.244,0.236,0.008000000000000007,0.379,0.364,0.015000000000000013,0.314,0.303,0.01100000000000001
"Orioles","BAL","2026","1988","1284",0.232,0.241,-0.00899999999999998,0.387,0.4,-0.013000000000000012,0.315,0.319,-0.0040000000000000036
"Yankees","NYY","2026","1988","1269",0.235,0.245,-0.010000000000000009,0.426,0.44,-0.014000000000000012,0.334,0.341,-0.007000000000000006
"Phillies","PHI","2026","1988","1361",0.229,0.246,-0.016999999999999987,0.385,0.396,-0.01100000000000001,0.304,0.314,-0.010000000000000009
"Royals","KC","2026","1980","1349",0.238,0.242,-0.0040000000000000036,0.378,0.385,-0.007000000000000006,0.309,0.313,-0.0040000000000000036
"Blue Jays","TOR","2026","1978","1422",0.242,0.244,-0.0020000000000000018,0.372,0.371,0.0010000000000000009,0.304,0.302,0.0020000000000000018
"White Sox","CWS","2026","1977","1256",0.232,0.24,-0.00799999999999998,0.399,0.416,-0.01699999999999996,0.322,0.328,-0.006000000000000005
"Reds","CIN","2026","1977","1287",0.227,0.247,-0.01999999999999999,0.393,0.432,-0.03899999999999998,0.314,0.334,-0.020000000000000018
"Mets","NYM","2026","1975","1377",0.226,0.245,-0.01899999999999999,0.349,0.413,-0.064,0.289,0.316,-0.027000000000000024
"Cardinals","STL","2026","1972","1342",0.242,0.248,-0.006000000000000005,0.393,0.415,-0.021999999999999964,0.32,0.328,-0.008000000000000007
"Giants","SF","2026","1960","1417",0.247,0.248,-0.0010000000000000009,0.387,0.382,0.0050000000000000044,0.302,0.297,0.0050000000000000044
"Red Sox","BOS","2026","1953","1322",0.24,0.239,0.0010000000000000009,0.368,0.375,-0.007000000000000006,0.308,0.308,0
"Rangers","TEX","2026","1950","1285",0.235,0.243,-0.008000000000000007,0.376,0.395,-0.019000000000000017,0.311,0.319,-0.008000000000000007
"Brewers","MIL","2026","1934","1312",0.246,0.239,0.007000000000000006,0.361,0.378,-0.017000000000000015,0.314,0.314,0
"D-backs","AZ","2026","1924","1360",0.248,0.251,-0.0030000000000000027,0.404,0.395,0.009000000000000008,0.318,0.316,0.0020000000000000018
"Rays","TB","2026","1906","1355",0.26,0.244,0.016000000000000014,0.388,0.364,0.02400000000000002,0.324,0.306,0.018000000000000016
"Padres","SD","2026","1894","1274",0.22,0.243,-0.022999999999999993,0.367,0.396,-0.029000000000000026,0.296,0.315,-0.019000000000000017
