"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Nationals","WSH","2026","1415","987",0.258,0.262,-0.0040000000000000036,0.426,0.459,-0.03300000000000003,0.34,0.352,-0.011999999999999955
"Astros","HOU","2026","1390","864",0.264,0.242,0.02200000000000002,0.443,0.396,0.046999999999999986,0.366,0.34,0.025999999999999968
"Angels","LAA","2026","1358","869",0.238,0.232,0.005999999999999978,0.379,0.378,0.0010000000000000009,0.323,0.318,0.0050000000000000044
"Rockies","COL","2026","1351","947",0.268,0.264,0.0040000000000000036,0.449,0.448,0.0010000000000000009,0.345,0.34,0.004999999999999949
"Pirates","PIT","2026","1348","868",0.222,0.233,-0.01100000000000001,0.35,0.366,-0.016000000000000014,0.297,0.305,-0.008000000000000007
"Reds","CIN","2026","1348","904",0.255,0.261,-0.006000000000000005,0.411,0.435,-0.02400000000000002,0.343,0.352,-0.008999999999999952
"Athletics","ATH","2026","1346","903",0.25,0.237,0.013000000000000012,0.411,0.39,0.020999999999999963,0.337,0.325,0.01200000000000001
"Phillies","PHI","2026","1342","897",0.279,0.242,0.03700000000000003,0.419,0.379,0.03999999999999998,0.339,0.306,0.03300000000000003
"Twins","MIN","2026","1334","922",0.253,0.248,0.0050000000000000044,0.403,0.402,0.0010000000000000009,0.33,0.326,0.0040000000000000036
"Cardinals","STL","2026","1334","948",0.261,0.271,-0.010000000000000009,0.403,0.443,-0.03999999999999998,0.335,0.349,-0.013999999999999957
"Orioles","BAL","2026","1333","915",0.273,0.257,0.016000000000000014,0.454,0.418,0.03600000000000003,0.351,0.329,0.021999999999999964
"White Sox","CWS","2026","1316","882",0.243,0.252,-0.009000000000000008,0.399,0.401,-0.0020000000000000018,0.328,0.331,-0.0030000000000000027
"Mariners","SEA","2026","1305","907",0.259,0.255,0.0040000000000000036,0.399,0.411,-0.011999999999999955,0.319,0.318,0.0010000000000000009
"Guardians","CLE","2026","1302","854",0.235,0.239,-0.0040000000000000036,0.396,0.407,-0.010999999999999954,0.315,0.318,-0.0030000000000000027
"Mets","NYM","2026","1299","847",0.234,0.242,-0.00799999999999998,0.361,0.365,-0.0040000000000000036,0.302,0.306,-0.0040000000000000036
"Braves","ATL","2026","1293","857",0.215,0.229,-0.014000000000000012,0.35,0.375,-0.025000000000000022,0.292,0.304,-0.01200000000000001
"Tigers","DET","2026","1290","870",0.239,0.24,-0.0010000000000000009,0.377,0.376,0.0010000000000000009,0.313,0.311,0.0020000000000000018
"Blue Jays","TOR","2026","1285","842",0.245,0.238,0.007000000000000006,0.385,0.383,0.0020000000000000018,0.312,0.306,0.006000000000000005
"Royals","KC","2026","1284","835",0.242,0.249,-0.007000000000000006,0.417,0.437,-0.020000000000000018,0.334,0.339,-0.0050000000000000044
"Red Sox","BOS","2026","1282","884",0.252,0.263,-0.01100000000000001,0.415,0.459,-0.04400000000000004,0.33,0.348,-0.01799999999999996
"Marlins","MIA","2026","1274","847",0.222,0.233,-0.01100000000000001,0.35,0.387,-0.03700000000000003,0.298,0.313,-0.015000000000000013
"Giants","SF","2026","1267","853",0.237,0.242,-0.0050000000000000044,0.38,0.386,-0.006000000000000005,0.314,0.315,-0.0010000000000000009
"D-backs","AZ","2026","1267","898",0.26,0.264,-0.0040000000000000036,0.44,0.463,-0.02300000000000002,0.34,0.348,-0.007999999999999952
"Padres","SD","2026","1250","826",0.243,0.233,0.009999999999999981,0.381,0.377,0.0040000000000000036,0.318,0.309,0.009000000000000008
"Rangers","TEX","2026","1250","835",0.232,0.243,-0.010999999999999982,0.372,0.409,-0.03699999999999998,0.303,0.318,-0.015000000000000013
"Cubs","CHC","2026","1250","861",0.227,0.242,-0.014999999999999986,0.376,0.408,-0.03199999999999997,0.3,0.316,-0.016000000000000014
"Rays","TB","2026","1247","871",0.221,0.254,-0.033,0.375,0.434,-0.059,0.295,0.329,-0.03400000000000003
"Yankees","NYY","2026","1233","828",0.218,0.229,-0.01100000000000001,0.336,0.361,-0.024999999999999967,0.282,0.292,-0.010000000000000009
"Brewers","MIL","2026","1224","786",0.231,0.236,-0.004999999999999977,0.359,0.366,-0.007000000000000006,0.303,0.305,-0.0020000000000000018
"Dodgers","LAD","2026","1223","811",0.214,0.236,-0.021999999999999992,0.351,0.385,-0.03400000000000003,0.288,0.306,-0.018000000000000016
