"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","fielding_runs_prevented_on_rec1b","catching_runs","framing_runs","throwing_runs","blocking_runs","tot_plays"
"Cubs",112,62.3711730647463,61.51247729698597,50.13991484994382,11.22060458347869,0.7796469157120797,-0.6276890521485291,0.8586957677603196,1.7497186282410235,-1.8724098150431532,0.9813869545624501,18943
"Cardinals",138,39.423043474689415,36.499720085248526,24.354891533007404,-3.3194947843526648,9.661955800367625,5.8023675362262335,2.9233233894409287,5.604489265936797,-1.1087157989900176,-1.5724500775058436,19544
"Blue Jays",141,36.87691849370035,10.987398334248436,7.621092342827212,3.462185311328316,-1.1625540157831726,1.0666746958760713,25.889520159451852,17.030456738920655,5.1885178654196435,3.6705455551115693,19589
"D-backs",109,23.68347582766211,23.073572806927665,26.37096835928698,-4.226799765625781,2.9794273022024,-2.050023088935929,0.6099030207344569,-0.04624514503506583,-0.2523818614592585,0.9085300272287847,18568
"Padres",135,20.88204247613338,19.682252908772853,6.724245906473445,8.209641370392871,2.6035514968320066,2.144814135074509,1.199789567360508,-5.189817752555542,5.525302029029571,0.8643052908864806,19319
"Dodgers",119,18.02595421371701,24.429321907409893,15.41183969818778,4.168795126621241,0.682343679643429,4.166343402957457,-6.403367693692861,-4.877596326375673,-0.8464499499300158,-0.679321417387172,18746
"Red Sox",111,14.725395138916976,17.861612542349,10.937343097412137,5.6412558777413935,1.125863055469933,0.15715051172552447,-3.1362174034320103,-1.8995726050354116,-2.5024855791289293,1.2658407807323317,17979
"Guardians",114,14.4207463291664,17.640462078153917,11.887415930813752,3.9740925127223012,-0.32508819537812794,2.104041829995951,-3.219715748987488,2.5054623558466336,-1.991179533418491,-3.7339985714156305,19058
"Yankees",147,12.157926601696278,1.0140348915070345,0.6713367753857118,0.7471187742213724,-1.9935902548782773,1.5891695967782076,11.143891710189232,10.360300757609195,-1.4376336538473444,2.2212246064273837,18651
"Braves",144,7.109000761611774,10.10777870346499,6.5367789063984265,5.3898111553840495,-1.4473301421083808,-0.37148121620910346,-2.9987779418532186,0.9531738779585404,-5.083790791279089,1.131838971467336,18712
"Marlins",146,6.179729709087255,1.396880386893812,4.093576350506914,-5.2489702591613865,2.489737219435157,0.06253707611311937,4.782849322193449,0.4691568734267351,4.942293834732971,-0.6286013859662576,18735
"White Sox",145,5.481971496507775,14.094236211153065,10.934241637277063,-1.6264712906694707,6.583550606470694,-1.7970847419252278,-8.6122647146453,-5.109761377532766,0.015665457462250287,-3.518168794574785,19368
"Royals",118,5.265272521544644,9.302047814231408,5.388942353713389,3.8199279877279904,-1.018595918370909,1.1117733911609147,-4.036775292686746,-3.1776084346961238,2.681142331065728,-3.540309189056344,19193
"Astros",117,-0.5043243485537806,0.4639765242643531,0.9895268111649385,-1.7912742828855,-0.43802773065263484,1.7037517266375586,-0.968300872818141,2.7636140819263124,-1.797432472238878,-1.934482482505571,19771
"Rays",139,-1.496091556897141,-3.845104400379916,-2.47836010135591,-0.901754299514896,2.257573948189807,-2.722563947698882,2.3490128434827553,4.646304044934219,-0.892514935996264,-1.404776265455197,18040
"Brewers",158,-1.6157807726650049,3.7825876398985248,6.9008686983598375,-5.321294629917759,4.9307558535429425,-2.727742282086502,-5.398368412563545,-6.123342397956011,3.4782582909239315,-2.753284305531458,18772
"Nationals",120,-3.5169151266558303,-6.26785447547585,-10.554795463651855,1.3317745499115543,5.63194888851532,-2.676782450250859,2.7509393488200193,5.337743351149404,-1.8472748771021872,-0.7395291252271932,19798
"Mets",121,-3.648238094046047,-11.428252366302267,-15.31083276954034,7.504653129237345,-3.9122195805423847,0.29014685454310096,7.7800142722562216,4.804385426230181,3.2783676361394307,-0.30273879011338833,19433
"Rangers",140,-3.990824965789322,1.962263835122842,8.20808223430554,-5.253113618182274,-2.377120151205782,1.3844153702053554,-5.953088800912161,-4.7452707608373395,-2.1212838852760623,0.913465845201245,18659
"Giants",137,-4.362830181076324,-12.043042782338476,-9.294038504798312,-1.0790693828040974,2.7146779564144627,-4.384612851150526,7.680212601262143,6.422094010890348,3.0795651673397892,-1.8214465769679913,19010
"Phillies",143,-9.05095233905605,-19.18778259915213,-5.824027025687241,-3.3416284442216497,-5.1136686599253105,-4.9084584693178845,10.136830260096014,3.082046301778731,6.181912254282327,0.8728717040349593,19456
