"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","fielding_runs_prevented_on_rec1b","catching_runs","framing_runs","throwing_runs","blocking_runs","tot_plays"
"Cubs",112,62.656210910663816,61.52410161995607,50.067739885758776,11.374205573947492,0.6921477418814466,-0.6099915816316483,1.1321092907077455,1.9083683080236649,-1.6321927334640356,0.8559337161481115,18775
"Blue Jays",141,39.119005240190184,13.584572358022903,10.111293525618096,3.2884455197816878,-1.1449040246457876,1.3297373372688974,25.53443288216728,16.441741472294403,5.199527128573104,3.893164281299772,19466
"Cardinals",138,38.66508897226668,35.59769735705357,23.416929241119277,-3.1940259238252082,9.649534019226303,5.725260020533239,3.0673916152131095,5.619471935998279,-1.1069334864244087,-1.4451468343607627,19395
"D-backs",109,23.709048988064737,22.94957121371911,26.54160024073945,-4.863016220518655,3.2804350636528703,-2.0094478701545655,0.7594777743456229,0.1474289285451857,-0.2451241812644095,0.857173027064846,18402
"Padres",135,21.59008467824091,20.78050120368567,7.8497715886457,8.144302253332626,2.602302709802217,2.184124651905125,0.8095834745552362,-5.5418927620259035,5.515710189282397,0.8357660472987354,19186
"Dodgers",119,19.195490677124315,25.38125409925885,16.078777840488186,4.437134049415056,0.6831768806250209,4.182165328730636,-6.185763422134527,-4.689002641179716,-0.7606233315641877,-0.7361374493906298,18570
"Red Sox",111,15.226526974478814,18.671971306352614,11.880430958254642,5.473797089186546,1.1458334990885857,0.17190975982283502,-3.445444331873789,-2.1028186533568145,-2.5033867768841946,1.160761098367216,17776
"Guardians",114,14.407813064656168,17.964425404841137,12.148147526441665,3.9812299604625854,-0.31627404694544964,2.151321964882329,-3.5566123401850036,2.0178932540099193,-1.9873227037871675,-3.5871828904077576,18922
"Yankees",147,12.646671324632193,1.6456125704838365,1.2883690719030536,0.7591391037607628,-1.9704356762395108,1.5685400710595316,11.001058754148335,10.445978554432886,-1.4284368841451613,1.9835170838606089,18479
"Braves",144,7.452119635718065,10.745447201799722,7.26757887187303,5.319425747874899,-1.4930068999556836,-0.3485505179925378,-3.2933275660816537,0.7997799039142844,-5.06410705879161,0.9709995887956656,18572
"Marlins",146,5.547776035375605,1.565366043319381,4.299592452038869,-5.382769187846445,2.538937521080839,0.10960525804611615,3.982409992056221,0.1829358572752992,4.45629118178849,-0.6568170470075728,18606
"White Sox",145,4.928820478130305,13.612588571041004,9.97532879750079,-1.135659123669626,6.6045836634917565,-1.8316647662819188,-8.683768092910727,-5.169414755433817,0.02400426708893741,-3.538357604565853,19252
"Royals",118,4.364358683088574,8.157299628893457,5.461085186243805,3.135327238211391,-1.1531984068155263,0.7140856112537955,-3.792940945804903,-2.920481075766249,2.689725258116051,-3.5621851281547086,19053
"Rays",139,-0.7726956471944131,-3.027280213592334,-2.202175931170079,-0.41957227377343165,2.2825522161900587,-2.688084224838871,2.2545845663979347,4.5188833315339565,-0.793120062024349,-1.471178703111678,17890
"Astros",117,-0.8997703706039594,0.03137839254523779,0.43209212092911886,-1.6034712122035788,-0.4327772177924763,1.6355347016121708,-0.9311487631492016,2.7356834994065276,-1.6625050529129348,-2.0043272096428018,19595
"Brewers",158,-1.5726141483449079,3.7546721987272917,6.972867442786712,-5.4483185326494885,4.933768298090999,-2.703645009500935,-5.327286347072192,-5.999197705052679,3.482324670244568,-2.8104133122640826,18591
"Nationals",120,-2.7966116066633755,-5.572594224256544,-9.200228165310296,1.3965125198013788,5.639506863672376,-3.4083854424200064,2.7759826175931717,5.2737934959582145,-1.8492358071215478,-0.6485750712434942,19674
"Mets",121,-2.8705640626068587,-10.436187337505437,-14.5454531856403,7.111468157692222,-4.024118812858697,1.021916503301316,7.565623274898574,4.652875368286796,3.2828595701109338,-0.37011166349915514,19276
"Giants",137,-4.747438269635619,-12.498661577939954,-9.598445547575464,-1.0292676205944504,2.7287209614564825,-4.599669371226547,7.751223308304349,6.3214732572479555,3.07428027406977,-1.6445302230133882,18871
"Rangers",140,-5.49339531316484,0.6592629908175922,6.925918141315926,-5.2988333278428685,-2.3690813875992043,1.4012595649437283,-6.152658303982432,-4.899581818815876,-2.119091339209632,0.8660148540430782,18491
"Phillies",143,-9.57388536978583,-19.760214917779624,-6.5348761062729475,-3.2114222355616158,-5.111594871425613,-4.90232170451949,10.186329547993827,3.32357984059563,6.1787454213295545,0.6840042860686341,19308
"Reds",113,-9.814371312266736,-6.8476087904858405,3.9327940866883146,-8.258588993510362,-0.780650930185429,-1.741162953478365,-2.9667625217808813,-6.230014719840294,-1.3016938194237957,4.564946017483204,19643
"Tigers",116,-13.648095445566732,-22.41570314686876,-19.9968489737154,-6.154003247348092,3.995775370043369,-0.2606262958486184,8.767607701302035,4.752092245165161,2.1253021714868026,1.890213284650073,18211
