"player_id","entity_name","team_name","start_year","end_year","runner_runs_tot","runner_runs_XB","runner_runs_SBX","N_runner_moved","runner_runs_XB_swipe","runner_runs_XB_snipe","runner_runs_XB_freeze","N_runner_moved_XB","runner_runs_SB2","runner_runs_SB3","simple_stolen_on_running_act_SB2","simple_stolen_on_running_act_SB3","N_runner_moved_SBX"
143,"Phillies","PHI",2026,2026,8.638705087508143,1.6493527867707107,6.989352300737432,390,19.29880249307098,-5.736370330901975,-11.913079375398286,300,5.908227377629084,1.0811249231083455,18.055295320060804,4.692694146217059,90
109,"D-backs","AZ",2026,2026,8.428420760348573,4.266379721871535,4.162041038477037,441,23.068217431454546,-5.198509321752548,-13.60332838783047,351,3.8475675454633733,0.31447349301365946,13.556706712575954,-0.9842300267831168,90
158,"Brewers","MIL",2026,2026,7.515594207100766,7.135067914996394,0.3805262921043725,491,24.708873141708505,-3.235691218699658,-14.338114008012473,368,0.09713822970885752,0.28338806239551256,7.907209127719015,1.7475982177051759,123
120,"Nationals","WSH",2026,2026,7.488616928676667,1.3982044294848408,6.090412499191826,491,25.90722836357402,-9.920077384156123,-14.588946549933024,363,4.888419009699867,1.2019934894919573,28.94661251150384,4.1426463674177985,128
134,"Pirates","PIT",2026,2026,6.442834460479988,0.8230838001255159,5.619750660354472,445,22.60736352774425,-7.375239735750933,-14.409039991867788,348,5.640478165803241,-0.02072750544876695,16.93717601682049,-1.8459770679596779,97
112,"Cubs","CHC",2026,2026,6.421955587223997,-0.012867193918823074,6.43482278114282,433,22.042293714594067,-8.040975170318706,-14.014185738194188,343,6.145309837235297,0.28951294390752474,18.450907532456593,-0.7548720561250606,90
139,"Rays","TB",2026,2026,6.267129134083888,3.716198202816809,2.550930931267079,472,24.32498809836074,-6.392088427159489,-14.216701468384418,343,2.3074061045177467,0.24352482674933348,20.878585083542497,2.5233120236074935,129
138,"Cardinals","STL",2026,2026,6.137228432308834,1.0428387141609425,5.094389718147892,424,20.15979528952041,-4.476347618984109,-14.640608956375347,341,5.05418555943781,0.04020415871008209,16.383141186008345,-1.6424231140069965,83
146,"Marlins","MIA",2026,2026,5.400555132708288,2.9412018387764745,2.4593532939318137,485,23.910878273333733,-9.89053529069114,-11.079141143866106,352,1.4990017450740118,0.9603515488578033,13.188422995610427,9.63556531252695,133
113,"Reds","CIN",2026,2026,2.7140274283954393,-0.16055299870983822,2.8745804271052777,378,17.508812117863073,-6.633112930649349,-11.036252185923562,283,1.8771124812266624,0.9974679458786135,6.303923700946546,4.09655432872041,95
118,"Royals","KC",2026,2026,1.344463322307527,-0.248817834732803,1.59328115704033,517,25.39271253987073,-13.330846687627528,-12.310683686976008,405,-0.3138805851691951,1.907161742209522,5.885305010118433,8.046056925917556,112
114,"Guardians","CLE",2026,2026,0.23380654750428453,-2.64874346746242,2.8825500149667045,446,22.28357786357644,-12.793895813466417,-12.138425517572438,336,1.081348322670072,1.8012016922966345,2.650629292891869,9.396413846127471,110
140,"Rangers","TEX",2026,2026,0.02765834644437598,-0.34005813543849617,0.36771648188287215,349,17.675891559463548,-4.789816895015558,-13.22613279988649,283,0.5685159032838074,-0.20079942140093693,-4.731163280202795,-1.8795225333269145,66
145,"White Sox","CWS",2026,2026,-0.005508085181819,1.664532692750349,-1.670040777932168,414,22.77234375730479,-10.087340358979493,-11.02047070557495,325,-1.4733983082850148,-0.19664246964715235,-4.548028152198063,-1.941603912449882,89
144,"Braves","ATL",2026,2026,-0.48144196575006104,0.6241967622760782,-1.1056387280261393,416,20.972268438327117,-7.395470016046484,-12.952601660004571,351,-1.241616459876078,0.13597773184993714,-8.989026558088788,-1.8640409794474317,65
115,"Rockies","COL",2026,2026,-0.7237804259138045,1.6192182401259638,-2.3429986660397684,496,26.800817736125854,-8.834793418689912,-16.34680607730994,395,-2.426780383076421,0.08378171703665077,-4.491943126332769,0.8208411494263831,101
147,"Yankees","NYY",2026,2026,-0.8499626923816352,1.7670905771637928,-2.617053269545428,434,21.483325731102845,-7.946562341396458,-11.769672812542598,304,-4.416772020780315,1.7997187512348893,-2.4951311875067015,11.227160649277023,130
135,"Padres","SD",2026,2026,-1.2278686762515916,-2.971014476573787,1.7431458003221953,447,19.915731584696218,-10.912202732393977,-11.974543328876026,321,1.98446554433776,-0.24131974401556758,17.874445999441136,2.518999091258648,126
136,"Mariners","SEA",2026,2026,-1.5216133205447469,-1.7306357160981745,0.20902239555342764,371,16.674513741380327,-6.932378860135648,-11.472770597342858,273,-0.24607922646714223,0.45510162202057325,-0.7382248804774552,2.0647576058506387,98
137,"Giants","SF",2026,2026,-1.5452184508803202,-3.2810444742633527,1.7358260233830325,422,20.318070974528478,-8.164050049938021,-15.435065398853812,362,2.745418182829512,-1.0095921594464792,1.4959255620451648,-6.67478440534694,60
116,"Tigers","DET",2026,2026,-1.5946011497078385,2.814225968006697,-4.4088271177145355,436,26.387689236302005,-11.737577188702875,-11.835886079592447,382,-2.662250656391776,-1.7465764613227597,-21.364404998479465,-8.065700465550796,54
