"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Nationals","WSH","2026","2237","1549",0.253,0.256,-0.0030000000000000027,0.418,0.448,-0.030000000000000027,0.332,0.342,-0.010000000000000009
"Rockies","COL","2026","2176","1557",0.28,0.273,0.007000000000000006,0.465,0.455,0.010000000000000009,0.355,0.348,0.007000000000000006
"Astros","HOU","2026","2169","1403",0.247,0.243,0.0040000000000000036,0.417,0.401,0.01599999999999996,0.346,0.337,0.008999999999999952
"Angels","LAA","2026","2153","1386",0.241,0.239,0.0020000000000000018,0.381,0.39,-0.009000000000000008,0.324,0.325,-0.0010000000000000009
"Athletics","ATH","2026","2145","1464",0.253,0.243,0.010000000000000009,0.423,0.397,0.025999999999999968,0.337,0.322,0.015000000000000013
"Orioles","BAL","2026","2138","1469",0.26,0.251,0.009000000000000008,0.43,0.414,0.016000000000000014,0.338,0.326,0.01200000000000001
"Reds","CIN","2026","2123","1425",0.248,0.257,-0.009000000000000008,0.427,0.438,-0.01100000000000001,0.342,0.349,-0.006999999999999951
"Guardians","CLE","2026","2122","1378",0.236,0.236,0,0.391,0.4,-0.009000000000000008,0.313,0.313,0
"Mets","NYM","2026","2116","1373",0.236,0.237,-0.0010000000000000009,0.371,0.361,0.010000000000000009,0.309,0.305,0.0040000000000000036
"Pirates","PIT","2026","2103","1383",0.225,0.239,-0.013999999999999985,0.362,0.376,-0.014000000000000012,0.301,0.31,-0.009000000000000008
"Marlins","MIA","2026","2102","1402",0.229,0.234,-0.0050000000000000044,0.372,0.388,-0.016000000000000014,0.308,0.313,-0.0050000000000000044
"Phillies","PHI","2026","2100","1407",0.258,0.238,0.020000000000000018,0.393,0.377,0.016000000000000014,0.317,0.3,0.017000000000000015
"Twins","MIN","2026","2088","1437",0.24,0.237,0.0030000000000000027,0.383,0.39,-0.007000000000000006,0.316,0.315,0.0010000000000000009
"Royals","KC","2026","2084","1406",0.249,0.257,-0.008000000000000007,0.421,0.434,-0.013000000000000012,0.335,0.338,-0.0030000000000000027
"White Sox","CWS","2026","2081","1388",0.241,0.249,-0.008000000000000007,0.404,0.404,0,0.328,0.329,-0.0010000000000000009
"Giants","SF","2026","2078","1413",0.244,0.246,-0.0020000000000000018,0.397,0.39,0.007000000000000006,0.323,0.319,0.0040000000000000036
"Mariners","SEA","2026","2068","1417",0.247,0.25,-0.0030000000000000027,0.386,0.406,-0.020000000000000018,0.309,0.315,-0.006000000000000005
"Cardinals","STL","2026","2059","1430",0.256,0.267,-0.01100000000000001,0.397,0.444,-0.046999999999999986,0.328,0.346,-0.01799999999999996
"Blue Jays","TOR","2026","2050","1355",0.24,0.235,0.0050000000000000044,0.369,0.371,-0.0020000000000000018,0.303,0.3,0.0030000000000000027
"Tigers","DET","2026","2046","1394",0.239,0.24,-0.0010000000000000009,0.385,0.383,0.0020000000000000018,0.313,0.311,0.0020000000000000018
"Cubs","CHC","2026","2039","1414",0.24,0.253,-0.013000000000000012,0.404,0.432,-0.02799999999999997,0.316,0.329,-0.013000000000000012
"Yankees","NYY","2026","2018","1353",0.221,0.226,-0.0050000000000000044,0.336,0.345,-0.008999999999999952,0.285,0.289,-0.0040000000000000036
"Braves","ATL","2026","2017","1323",0.208,0.224,-0.016000000000000014,0.348,0.365,-0.017000000000000015,0.287,0.298,-0.01100000000000001
"D-backs","AZ","2026","2012","1443",0.239,0.254,-0.015000000000000013,0.398,0.438,-0.03999999999999998,0.312,0.33,-0.018000000000000016
"Padres","SD","2026","2011","1334",0.233,0.231,0.0020000000000000018,0.367,0.372,-0.0050000000000000044,0.307,0.306,0.0010000000000000009
"Red Sox","BOS","2026","1981","1348",0.239,0.252,-0.013000000000000012,0.389,0.421,-0.03199999999999997,0.313,0.328,-0.015000000000000013
"Rangers","TEX","2026","1979","1335",0.226,0.245,-0.01899999999999999,0.372,0.411,-0.03899999999999998,0.302,0.321,-0.019000000000000017
"Dodgers","LAD","2026","1969","1307",0.213,0.234,-0.02100000000000002,0.341,0.375,-0.033999999999999975,0.28,0.298,-0.01799999999999996
"Rays","TB","2026","1964","1383",0.228,0.254,-0.025999999999999995,0.372,0.42,-0.04799999999999999,0.295,0.322,-0.027000000000000024
"Brewers","MIL","2026","1911","1202",0.216,0.226,-0.010000000000000009,0.333,0.342,-0.009000000000000008,0.287,0.291,-0.0040000000000000036
