"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Pirates","PIT","2026","2949","1924",0.255,0.246,0.009000000000000008,0.408,0.406,0.0019999999999999463,0.33,0.326,0.0040000000000000036
"Cubs","CHC","2026","2932","1944",0.241,0.242,-0.0010000000000000009,0.398,0.401,-0.0030000000000000027,0.325,0.325,0
"Athletics","ATH","2026","2899","1949",0.25,0.244,0.006000000000000005,0.42,0.404,0.01599999999999996,0.329,0.319,0.010000000000000009
"Nationals","WSH","2026","2891","1987",0.247,0.254,-0.007000000000000006,0.421,0.422,-0.0010000000000000009,0.327,0.33,-0.0030000000000000027
"Angels","LAA","2026","2883","1859",0.237,0.235,0.0020000000000000018,0.392,0.401,-0.009000000000000008,0.315,0.317,-0.0020000000000000018
"Dodgers","LAD","2026","2882","1956",0.261,0.269,-0.008000000000000007,0.441,0.451,-0.010000000000000009,0.345,0.353,-0.008000000000000007
"Royals","KC","2026","2878","1985",0.246,0.248,-0.0020000000000000018,0.39,0.396,-0.006000000000000005,0.314,0.318,-0.0040000000000000036
"Twins","MIN","2026","2877","1937",0.243,0.236,0.007000000000000006,0.406,0.387,0.019000000000000017,0.321,0.311,0.010000000000000009
"Orioles","BAL","2026","2877","1881",0.24,0.246,-0.006000000000000005,0.399,0.414,-0.014999999999999958,0.319,0.326,-0.007000000000000006
"Astros","HOU","2026","2875","1961",0.243,0.248,-0.0050000000000000044,0.412,0.413,-0.0010000000000000009,0.321,0.323,-0.0020000000000000018
"Mariners","SEA","2026","2860","1908",0.236,0.246,-0.010000000000000009,0.394,0.412,-0.01799999999999996,0.315,0.325,-0.010000000000000009
"Rockies","COL","2026","2853","1915",0.252,0.242,0.010000000000000009,0.41,0.387,0.022999999999999965,0.323,0.31,0.013000000000000012
"Brewers","MIL","2026","2810","1894",0.254,0.243,0.01100000000000001,0.395,0.388,0.007000000000000006,0.327,0.319,0.008000000000000007
"Marlins","MIA","2026","2810","1892",0.245,0.237,0.008000000000000007,0.386,0.37,0.016000000000000014,0.315,0.306,0.009000000000000008
"Guardians","CLE","2026","2808","1896",0.229,0.237,-0.00799999999999998,0.37,0.367,0.0030000000000000027,0.306,0.308,-0.0020000000000000018
"Cardinals","STL","2026","2802","1924",0.247,0.253,-0.006000000000000005,0.396,0.418,-0.021999999999999964,0.319,0.33,-0.01100000000000001
"Blue Jays","TOR","2026","2800","2004",0.25,0.246,0.0040000000000000036,0.392,0.375,0.017000000000000015,0.311,0.303,0.008000000000000007
"Giants","SF","2026","2795","2026",0.258,0.252,0.006000000000000005,0.421,0.398,0.022999999999999965,0.318,0.307,0.01100000000000001
"Mets","NYM","2026","2790","1927",0.233,0.251,-0.017999999999999988,0.373,0.42,-0.046999999999999986,0.298,0.321,-0.02300000000000002
"Phillies","PHI","2026","2782","1881",0.229,0.246,-0.016999999999999987,0.387,0.399,-0.01200000000000001,0.302,0.314,-0.01200000000000001
"Tigers","DET","2026","2777","1833",0.233,0.239,-0.005999999999999978,0.392,0.409,-0.01699999999999996,0.313,0.321,-0.008000000000000007
"Reds","CIN","2026","2777","1792",0.228,0.242,-0.013999999999999985,0.395,0.417,-0.021999999999999964,0.313,0.327,-0.014000000000000012
"Yankees","NYY","2026","2776","1817",0.246,0.25,-0.0040000000000000036,0.442,0.435,0.007000000000000006,0.338,0.339,-0.0010000000000000009
"White Sox","CWS","2026","2770","1796",0.239,0.243,-0.0040000000000000036,0.413,0.416,-0.0030000000000000027,0.324,0.327,-0.0030000000000000027
"Rangers","TEX","2026","2766","1858",0.239,0.242,-0.0030000000000000027,0.384,0.387,-0.0030000000000000027,0.311,0.313,-0.0020000000000000018
"Braves","ATL","2026","2764","1936",0.254,0.256,-0.0020000000000000018,0.423,0.435,-0.01200000000000001,0.326,0.331,-0.0050000000000000044
"D-backs","AZ","2026","2745","1939",0.237,0.247,-0.010000000000000009,0.384,0.382,0.0020000000000000018,0.306,0.311,-0.0050000000000000044
"Rays","TB","2026","2712","1903",0.255,0.243,0.01200000000000001,0.379,0.364,0.015000000000000013,0.318,0.308,0.010000000000000009
"Red Sox","BOS","2026","2698","1855",0.244,0.241,0.0030000000000000027,0.382,0.374,0.008000000000000007,0.308,0.305,0.0030000000000000027
"Padres","SD","2026","2660","1792",0.218,0.239,-0.02099999999999999,0.361,0.388,-0.027000000000000024,0.29,0.309,-0.019000000000000017
