"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Astros","HOU","2026","1697","1079",0.263,0.248,0.015000000000000013,0.437,0.41,0.027000000000000024,0.361,0.343,0.01799999999999996
"Nationals","WSH","2026","1684","1177",0.255,0.258,-0.0030000000000000027,0.422,0.447,-0.025000000000000022,0.337,0.346,-0.008999999999999952
"Orioles","BAL","2026","1675","1140",0.264,0.25,0.014000000000000012,0.435,0.406,0.02899999999999997,0.343,0.324,0.019000000000000017
"Angels","LAA","2026","1668","1083",0.241,0.24,0.0010000000000000009,0.376,0.387,-0.01100000000000001,0.323,0.324,-0.0010000000000000009
"Reds","CIN","2026","1655","1119",0.253,0.262,-0.009000000000000008,0.425,0.449,-0.02400000000000002,0.345,0.356,-0.01100000000000001
"Phillies","PHI","2026","1643","1097",0.269,0.241,0.028000000000000025,0.405,0.377,0.028000000000000025,0.329,0.303,0.026000000000000023
"Guardians","CLE","2026","1643","1073",0.238,0.236,0.0020000000000000018,0.397,0.404,-0.007000000000000006,0.316,0.315,0.0010000000000000009
"Rockies","COL","2026","1620","1146",0.27,0.266,0.0040000000000000036,0.455,0.453,0.0020000000000000018,0.348,0.342,0.00599999999999995
"Pirates","PIT","2026","1610","1055",0.221,0.235,-0.013999999999999985,0.349,0.365,-0.016000000000000014,0.295,0.304,-0.009000000000000008
"Athletics","ATH","2026","1606","1081",0.252,0.24,0.01200000000000001,0.412,0.392,0.019999999999999962,0.336,0.323,0.013000000000000012
"Twins","MIN","2026","1603","1105",0.248,0.246,0.0020000000000000018,0.398,0.399,-0.0010000000000000009,0.327,0.325,0.0020000000000000018
"Giants","SF","2026","1593","1078",0.239,0.242,-0.0030000000000000027,0.388,0.385,0.0030000000000000027,0.318,0.316,0.0020000000000000018
"Mariners","SEA","2026","1589","1088",0.253,0.252,0.0010000000000000009,0.397,0.418,-0.020999999999999963,0.315,0.32,-0.0050000000000000044
"Royals","KC","2026","1584","1036",0.235,0.246,-0.01100000000000001,0.406,0.425,-0.01899999999999996,0.328,0.335,-0.007000000000000006
"Cardinals","STL","2026","1583","1107",0.25,0.268,-0.018000000000000016,0.387,0.444,-0.056999999999999995,0.324,0.348,-0.023999999999999966
"Blue Jays","TOR","2026","1580","1062",0.252,0.246,0.006000000000000005,0.389,0.39,-0.0010000000000000009,0.315,0.311,0.0040000000000000036
"Marlins","MIA","2026","1575","1049",0.223,0.236,-0.012999999999999984,0.356,0.39,-0.03400000000000003,0.301,0.315,-0.014000000000000012
"White Sox","CWS","2026","1572","1055",0.242,0.252,-0.010000000000000009,0.403,0.406,-0.0030000000000000027,0.328,0.331,-0.0030000000000000027
"Yankees","NYY","2026","1570","1046",0.217,0.229,-0.01200000000000001,0.331,0.355,-0.023999999999999966,0.282,0.294,-0.01200000000000001
"Tigers","DET","2026","1561","1048",0.243,0.241,0.0020000000000000018,0.379,0.374,0.0050000000000000044,0.316,0.311,0.0050000000000000044
"Mets","NYM","2026","1559","1015",0.232,0.239,-0.0069999999999999785,0.361,0.363,-0.0020000000000000018,0.302,0.304,-0.0020000000000000018
"Cubs","CHC","2026","1551","1066",0.23,0.247,-0.016999999999999987,0.381,0.422,-0.04099999999999998,0.305,0.324,-0.019000000000000017
"D-backs","AZ","2026","1544","1089",0.243,0.258,-0.015000000000000013,0.411,0.455,-0.04400000000000004,0.322,0.34,-0.018000000000000016
"Rangers","TEX","2026","1540","1035",0.227,0.243,-0.015999999999999986,0.369,0.408,-0.03899999999999998,0.3,0.318,-0.018000000000000016
"Rays","TB","2026","1535","1074",0.218,0.247,-0.028999999999999998,0.36,0.414,-0.05399999999999999,0.286,0.317,-0.031000000000000028
"Braves","ATL","2026","1533","1001",0.207,0.226,-0.019000000000000017,0.343,0.373,-0.02999999999999997,0.288,0.304,-0.016000000000000014
"Red Sox","BOS","2026","1530","1051",0.243,0.256,-0.013000000000000012,0.394,0.438,-0.043999999999999984,0.318,0.337,-0.019000000000000017
"Padres","SD","2026","1530","1019",0.237,0.228,0.00899999999999998,0.374,0.367,0.007000000000000006,0.309,0.299,0.010000000000000009
"Dodgers","LAD","2026","1521","1008",0.22,0.238,-0.017999999999999988,0.357,0.387,-0.030000000000000027,0.291,0.305,-0.014000000000000012
"Brewers","MIL","2026","1444","910",0.226,0.231,-0.0050000000000000044,0.35,0.358,-0.008000000000000007,0.299,0.3,-0.0010000000000000009
