"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Cubs","CHC","2026","1933","1280",0.245,0.244,0.0010000000000000009,0.402,0.41,-0.007999999999999952,0.332,0.331,0.0010000000000000009
"Nationals","WSH","2026","1922","1295",0.245,0.252,-0.007000000000000006,0.414,0.417,-0.0030000000000000027,0.329,0.331,-0.0020000000000000018
"Pirates","PIT","2026","1895","1236",0.25,0.248,0.0020000000000000018,0.386,0.406,-0.020000000000000018,0.324,0.327,-0.0030000000000000027
"Astros","HOU","2026","1894","1303",0.248,0.254,-0.006000000000000005,0.409,0.42,-0.01100000000000001,0.325,0.329,-0.0040000000000000036
"Guardians","CLE","2026","1891","1283",0.231,0.242,-0.010999999999999982,0.379,0.38,-0.0010000000000000009,0.318,0.32,-0.0020000000000000018
"Mariners","SEA","2026","1890","1209",0.225,0.239,-0.013999999999999985,0.372,0.403,-0.031000000000000028,0.311,0.326,-0.015000000000000013
"Dodgers","LAD","2026","1877","1270",0.261,0.266,-0.0050000000000000044,0.429,0.45,-0.02100000000000002,0.342,0.351,-0.008999999999999952
"Twins","MIN","2026","1862","1222",0.236,0.229,0.0069999999999999785,0.386,0.38,0.006000000000000005,0.319,0.312,0.007000000000000006
"Braves","ATL","2026","1859","1303",0.263,0.26,0.0030000000000000027,0.439,0.449,-0.010000000000000009,0.338,0.338,0
"Reds","CIN","2026","1857","1207",0.226,0.246,-0.01999999999999999,0.389,0.427,-0.03799999999999998,0.314,0.334,-0.020000000000000018
"Yankees","NYY","2026","1856","1179",0.236,0.246,-0.010000000000000009,0.433,0.446,-0.013000000000000012,0.339,0.345,-0.00599999999999995
"Angels","LAA","2026","1849","1161",0.225,0.227,-0.0020000000000000018,0.373,0.386,-0.013000000000000012,0.309,0.312,-0.0030000000000000027
"Phillies","PHI","2026","1849","1274",0.232,0.248,-0.015999999999999986,0.392,0.401,-0.009000000000000008,0.308,0.316,-0.008000000000000007
"Athletics","ATH","2026","1847","1245",0.252,0.253,-0.0010000000000000009,0.404,0.415,-0.010999999999999954,0.326,0.327,-0.0010000000000000009
"Marlins","MIA","2026","1845","1252",0.248,0.239,0.009000000000000008,0.379,0.368,0.01100000000000001,0.317,0.307,0.010000000000000009
"Tigers","DET","2026","1841","1216",0.238,0.248,-0.010000000000000009,0.378,0.419,-0.04099999999999998,0.315,0.33,-0.015000000000000013
"Orioles","BAL","2026","1837","1183",0.232,0.239,-0.0069999999999999785,0.385,0.393,-0.008000000000000007,0.314,0.317,-0.0030000000000000027
"Royals","KC","2026","1836","1241",0.238,0.241,-0.0030000000000000027,0.381,0.387,-0.006000000000000005,0.312,0.315,-0.0030000000000000027
"Rockies","COL","2026","1833","1211",0.245,0.241,0.0040000000000000036,0.388,0.382,0.006000000000000005,0.314,0.307,0.007000000000000006
"White Sox","CWS","2026","1819","1159",0.233,0.242,-0.00899999999999998,0.405,0.425,-0.019999999999999962,0.324,0.332,-0.008000000000000007
"Cardinals","STL","2026","1808","1228",0.242,0.247,-0.0050000000000000044,0.393,0.415,-0.021999999999999964,0.319,0.327,-0.008000000000000007
"Giants","SF","2026","1807","1304",0.244,0.247,-0.0030000000000000027,0.378,0.375,0.0030000000000000027,0.296,0.294,0.0020000000000000018
"Mets","NYM","2026","1805","1272",0.232,0.248,-0.015999999999999986,0.36,0.413,-0.05299999999999999,0.295,0.317,-0.02200000000000002
"Red Sox","BOS","2026","1800","1220",0.239,0.24,-0.0010000000000000009,0.362,0.374,-0.01200000000000001,0.305,0.308,-0.0030000000000000027
"Rays","TB","2026","1799","1280",0.262,0.246,0.016000000000000014,0.392,0.367,0.025000000000000022,0.326,0.308,0.018000000000000016
"Rangers","TEX","2026","1798","1186",0.233,0.242,-0.00899999999999998,0.37,0.39,-0.020000000000000018,0.309,0.318,-0.009000000000000008
"Blue Jays","TOR","2026","1795","1309",0.243,0.248,-0.0050000000000000044,0.371,0.377,-0.006000000000000005,0.303,0.305,-0.0020000000000000018
"Brewers","MIL","2026","1790","1214",0.247,0.238,0.009000000000000008,0.366,0.379,-0.013000000000000012,0.317,0.315,0.0020000000000000018
"Padres","SD","2026","1756","1185",0.222,0.244,-0.021999999999999992,0.37,0.4,-0.030000000000000027,0.296,0.315,-0.019000000000000017
"D-backs","AZ","2026","1744","1231",0.245,0.25,-0.0050000000000000044,0.403,0.394,0.009000000000000008,0.317,0.315,0.0020000000000000018
