"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Nationals","WSH","2026","1221","845",0.262,0.263,-0.0010000000000000009,0.444,0.468,-0.02400000000000002,0.349,0.357,-0.008000000000000007
"Angels","LAA","2026","1203","769",0.24,0.236,0.0040000000000000036,0.384,0.388,-0.0040000000000000036,0.327,0.323,0.0040000000000000036
"Astros","HOU","2026","1196","741",0.268,0.242,0.026000000000000023,0.453,0.395,0.057999999999999996,0.371,0.338,0.032999999999999974
"White Sox","CWS","2026","1177","785",0.248,0.258,-0.010000000000000009,0.407,0.415,-0.008000000000000007,0.335,0.341,-0.006000000000000005
"Pirates","PIT","2026","1161","749",0.221,0.233,-0.01200000000000001,0.344,0.358,-0.014000000000000012,0.296,0.304,-0.008000000000000007
"Rockies","COL","2026","1150","808",0.263,0.263,0,0.431,0.44,-0.009000000000000008,0.335,0.336,-0.0010000000000000009
"Mariners","SEA","2026","1149","803",0.258,0.255,0.0030000000000000027,0.405,0.416,-0.010999999999999954,0.321,0.321,0
"Guardians","CLE","2026","1147","743",0.228,0.236,-0.00799999999999998,0.389,0.404,-0.015000000000000013,0.311,0.317,-0.006000000000000005
"Phillies","PHI","2026","1141","771",0.28,0.244,0.03600000000000003,0.428,0.386,0.04199999999999998,0.342,0.308,0.03400000000000003
"Athletics","ATH","2026","1141","764",0.245,0.24,0.0050000000000000044,0.403,0.402,0.0010000000000000009,0.331,0.328,0.0030000000000000027
"Cardinals","STL","2026","1140","815",0.264,0.276,-0.01200000000000001,0.414,0.455,-0.041000000000000036,0.339,0.355,-0.01599999999999996
"Twins","MIN","2026","1136","774",0.253,0.25,0.0030000000000000027,0.397,0.399,-0.0020000000000000018,0.327,0.325,0.0020000000000000018
"Reds","CIN","2026","1133","764",0.241,0.255,-0.014000000000000012,0.386,0.426,-0.03999999999999998,0.326,0.344,-0.01799999999999996
"Marlins","MIA","2026","1127","746",0.223,0.231,-0.008000000000000007,0.354,0.387,-0.03300000000000003,0.301,0.313,-0.01200000000000001
"Orioles","BAL","2026","1126","761",0.259,0.247,0.01200000000000001,0.431,0.4,0.030999999999999972,0.337,0.319,0.018000000000000016
"Red Sox","BOS","2026","1122","765",0.243,0.259,-0.016000000000000014,0.408,0.458,-0.050000000000000044,0.324,0.346,-0.021999999999999964
"Tigers","DET","2026","1111","747",0.241,0.238,0.0030000000000000027,0.382,0.374,0.008000000000000007,0.317,0.312,0.0050000000000000044
"Rays","TB","2026","1110","766",0.222,0.256,-0.034,0.387,0.447,-0.06,0.302,0.337,-0.03500000000000003
"Rangers","TEX","2026","1109","737",0.231,0.243,-0.011999999999999983,0.379,0.415,-0.035999999999999976,0.307,0.321,-0.014000000000000012
"Cubs","CHC","2026","1107","764",0.232,0.246,-0.013999999999999985,0.38,0.414,-0.033999999999999975,0.304,0.319,-0.015000000000000013
"Mets","NYM","2026","1104","727",0.232,0.244,-0.011999999999999983,0.363,0.368,-0.0050000000000000044,0.303,0.309,-0.006000000000000005
"Blue Jays","TOR","2026","1104","713",0.243,0.237,0.006000000000000005,0.383,0.375,0.008000000000000007,0.312,0.303,0.009000000000000008
"Royals","KC","2026","1101","714",0.242,0.255,-0.013000000000000012,0.424,0.454,-0.030000000000000027,0.337,0.349,-0.011999999999999955
"Padres","SD","2026","1100","727",0.244,0.232,0.011999999999999983,0.376,0.368,0.008000000000000007,0.315,0.304,0.01100000000000001
"Braves","ATL","2026","1098","739",0.21,0.23,-0.020000000000000018,0.342,0.372,-0.02999999999999997,0.285,0.302,-0.017000000000000015
"Yankees","NYY","2026","1095","740",0.222,0.232,-0.010000000000000009,0.346,0.366,-0.020000000000000018,0.285,0.294,-0.009000000000000008
"Giants","SF","2026","1088","723",0.233,0.243,-0.009999999999999981,0.371,0.39,-0.019000000000000017,0.311,0.318,-0.007000000000000006
"Dodgers","LAD","2026","1078","712",0.211,0.233,-0.02200000000000002,0.343,0.374,-0.030999999999999972,0.284,0.301,-0.017000000000000015
"D-backs","AZ","2026","1076","767",0.257,0.265,-0.008000000000000007,0.435,0.463,-0.028000000000000025,0.336,0.346,-0.009999999999999953
"Brewers","MIL","2026","1049","675",0.233,0.24,-0.0069999999999999785,0.364,0.374,-0.010000000000000009,0.308,0.311,-0.0030000000000000027
