"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Nationals","WSH","2026","2388","1655",0.253,0.257,-0.0040000000000000036,0.418,0.448,-0.030000000000000027,0.331,0.343,-0.01200000000000001
"Astros","HOU","2026","2347","1518",0.24,0.24,0,0.407,0.394,0.012999999999999956,0.338,0.332,0.006000000000000005
"Angels","LAA","2026","2346","1507",0.24,0.237,0.0030000000000000027,0.384,0.386,-0.0020000000000000018,0.326,0.324,0.0020000000000000018
"Rockies","COL","2026","2342","1687",0.286,0.276,0.009999999999999953,0.479,0.464,0.014999999999999958,0.361,0.351,0.010000000000000009
"Orioles","BAL","2026","2329","1613",0.261,0.254,0.007000000000000006,0.428,0.415,0.013000000000000012,0.337,0.328,0.009000000000000008
"Athletics","ATH","2026","2314","1581",0.255,0.245,0.010000000000000009,0.424,0.398,0.025999999999999968,0.338,0.324,0.014000000000000012
"Pirates","PIT","2026","2307","1505",0.228,0.237,-0.00899999999999998,0.368,0.374,-0.006000000000000005,0.305,0.308,-0.0030000000000000027
"Twins","MIN","2026","2292","1566",0.248,0.24,0.008000000000000007,0.396,0.397,-0.0010000000000000009,0.324,0.32,0.0040000000000000036
"Guardians","CLE","2026","2282","1489",0.239,0.238,0.0010000000000000009,0.392,0.4,-0.008000000000000007,0.313,0.314,-0.0010000000000000009
"Mets","NYM","2026","2279","1477",0.234,0.236,-0.001999999999999974,0.366,0.362,0.0040000000000000036,0.307,0.305,0.0020000000000000018
"Reds","CIN","2026","2276","1538",0.248,0.26,-0.01200000000000001,0.431,0.448,-0.017000000000000015,0.343,0.354,-0.010999999999999954
"White Sox","CWS","2026","2252","1508",0.234,0.244,-0.009999999999999981,0.392,0.395,-0.0030000000000000027,0.318,0.323,-0.0050000000000000044
"Marlins","MIA","2026","2248","1496",0.23,0.236,-0.005999999999999978,0.379,0.394,-0.015000000000000013,0.311,0.316,-0.0050000000000000044
"Giants","SF","2026","2244","1529",0.248,0.246,0.0020000000000000018,0.401,0.392,0.009000000000000008,0.325,0.32,0.0050000000000000044
"Phillies","PHI","2026","2242","1510",0.259,0.238,0.02100000000000002,0.4,0.381,0.019000000000000017,0.318,0.3,0.018000000000000016
"Royals","KC","2026","2239","1514",0.253,0.257,-0.0040000000000000036,0.428,0.43,-0.0020000000000000018,0.338,0.337,0.0010000000000000009
"Blue Jays","TOR","2026","2238","1485",0.243,0.238,0.0050000000000000044,0.373,0.376,-0.0030000000000000027,0.307,0.305,0.0020000000000000018
"Mariners","SEA","2026","2220","1524",0.244,0.249,-0.0050000000000000044,0.378,0.399,-0.02100000000000002,0.304,0.311,-0.007000000000000006
"Tigers","DET","2026","2218","1522",0.239,0.241,-0.0020000000000000018,0.388,0.384,0.0040000000000000036,0.311,0.309,0.0020000000000000018
"Cubs","CHC","2026","2212","1534",0.239,0.251,-0.01200000000000001,0.402,0.431,-0.02899999999999997,0.315,0.328,-0.013000000000000012
"Cardinals","STL","2026","2211","1538",0.255,0.267,-0.01200000000000001,0.394,0.445,-0.05099999999999999,0.325,0.345,-0.019999999999999962
"Braves","ATL","2026","2202","1453",0.214,0.229,-0.015000000000000013,0.357,0.37,-0.013000000000000012,0.291,0.3,-0.009000000000000008
"Red Sox","BOS","2026","2170","1470",0.24,0.253,-0.013000000000000012,0.388,0.419,-0.030999999999999972,0.312,0.327,-0.015000000000000013
"Rangers","TEX","2026","2169","1467",0.227,0.246,-0.01899999999999999,0.373,0.414,-0.04099999999999998,0.302,0.323,-0.02100000000000002
"Yankees","NYY","2026","2164","1454",0.223,0.228,-0.0050000000000000044,0.343,0.353,-0.009999999999999953,0.288,0.292,-0.0040000000000000036
"D-backs","AZ","2026","2161","1556",0.242,0.254,-0.01200000000000001,0.409,0.442,-0.03300000000000003,0.316,0.331,-0.015000000000000013
"Padres","SD","2026","2156","1444",0.234,0.233,0.0010000000000000009,0.37,0.377,-0.007000000000000006,0.308,0.308,0
"Rays","TB","2026","2126","1505",0.235,0.256,-0.02100000000000002,0.386,0.426,-0.03999999999999998,0.303,0.325,-0.02200000000000002
"Dodgers","LAD","2026","2105","1387",0.207,0.23,-0.02300000000000002,0.334,0.37,-0.035999999999999976,0.275,0.295,-0.019999999999999962
"Brewers","MIL","2026","2058","1301",0.216,0.227,-0.01100000000000001,0.334,0.347,-0.012999999999999956,0.286,0.293,-0.007000000000000006
