"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Renfroe, Hunter",592669,-2.732212138500083,-2.732212138500083,-3.5678037590276905,0.5757448163134291,0.25984680421417705,,,,,3276,0,117,0,0,0,0,0,3159
"Castro, Harold",605612,-2.7567579279020507,-2.7567579279020507,-4.4231715581009245,-0.19203048460790653,1.8584441148067778,,,,,1797,0,0,1414,54,42,84,141,56
"Taylor, Chris",621035,-2.7924570697075195,-2.7924570697075195,-1.6709716258186713,-1.319835914652034,0.19835047076318488,,,,,2308,0,0,30,517,671,1039,51,0
"Díaz, Yandy",650490,-2.835763832093218,-2.835763832093218,-3.245812264771516,,0.4100484326782981,,,,,3052,0,2959,0,93,0,0,0,0
"Peguero, Liover",678894,-2.848449078374228,-2.848449078374228,-0.8350317299052565,0.003381399216964878,-2.0167987476859377,,,,,1479,0,0,626,0,853,0,0,0
"Kemp, Tony",643393,-2.9773041748653184,-2.9773041748653184,-1.4255039040857298,-0.8322102627320807,-0.7195900080475082,,,,,2598,0,0,1230,0,0,1368,0,0
"Wong, Kolten",543939,-3.104446428234418,-3.104446428234418,-1.178297319539042,,-1.9261491086953775,,,,,1675,0,0,1675,0,0,0,0,0
"Stallings, Jacob",607732,-3.1272392202830552,,,,,-3.1272392202830552,-3.3965707178604565,-1.2713998507241837,1.5407313483015823,2008,1984,0,0,0,0,0,0,0
"Bae, Ji Hwan",678225,-3.1413285890827307,-3.1413285890827307,0.11710313202570823,-0.7784734296192689,-2.479958291489171,,,,,2478,0,0,1396,0,72,0,1010,0
"Solano, Donovan",456781,-3.143650300080173,-3.143650300080173,-3.974675125145831,,0.8310248250656573,,,,,2379,0,1676,351,352,0,0,0,0
"Carpenter, Kerry",681481,-3.2727111304222483,-3.2727111304222483,-3.828873261723243,0.5561621313009965,,,,,,2171,0,0,0,0,0,217,0,1954
"Hicks, Aaron",543305,-3.3690419259007744,-3.3690419259007744,-2.5280553289504883,-0.840986596950287,,,,,,1953,0,0,0,0,0,628,955,370
"McCarthy, Jake",664983,-3.3897339747389634,-3.3897339747389634,-0.5272256704528704,-2.8625083042860933,,,,,,2091,0,0,0,0,0,0,297,1794
"Wallner, Matt",670242,-3.527593718375843,-3.527593718375843,-3.683875686001505,0.156281967625661,,,,,,1463,0,0,0,0,0,926,0,537
"Espinal, Santiago",669289,-3.593420631175391,-3.593420631175391,-3.065056363417469,,-0.5283642677579197,,,,,1689,0,0,914,483,292,0,0,0
"Duran, Ezequiel",677649,-3.5967113536130326,-3.5967113536130326,-2.3094541655455387,-0.8892878543118102,-0.3979693337556825,,,,,2283,0,30,57,550,921,719,0,6
"Bauers, Jake",641343,-3.7099703708790814,-3.7099703708790814,-2.6979031641385367,-0.8593348862328323,-0.15273232050771565,,,,,1614,0,511,0,0,0,444,0,659
"Segura, Jean",516416,-3.776174332918681,-3.776174332918681,-3.018485815466429,0.01607351744833706,-0.7737620349005911,,,,,2161,0,0,0,2161,0,0,0,0
"Donovan, Brendan",680977,-3.8155335188978574,-3.8155335188978574,-3.6015699261524126,0.6191151303713914,-0.8330787231168343,,,,,1755,0,278,786,84,27,398,0,182
"Bohm, Alec",664761,-3.8650024176259583,-3.8650024176259583,-3.554668489181707,,-0.3103339284442518,,,,,3718,0,1659,0,2059,0,0,0,0
"Sabol, Blake",666165,-3.8675760130122026,-1.3242007242353249,-0.9310247353341452,-0.3931759889011802,,-2.5433752887768755,2.165798225883357,0.007153810683232342,-4.716327325343462,1995,1180,0,0,0,0,815,0,0
"Short, Zack",670097,-3.874719922049314,-3.874719922049314,-3.055173063419442,-0.32897177677229555,-0.49057508185757726,,,,,1832,0,0,786,483,521,0,12,12
"Maile, Luke",571912,-3.892179654480578,,,,,-3.892179654480578,-5.131488030872147,0.9882859050741992,0.2510224713173699,1514,1501,0,0,0,0,0,0,0
"Abreu, José",547989,-3.926608230180421,-3.926608230180421,-3.741852858637924,,-0.18475537154249616,,,,,3552,0,3552,0,0,0,0,0,0
"Gomes, Yan",543228,-4.064019774418481,,,,,-4.064019774418481,-5.882273317513976,0.8470037213130024,0.9712498217824913,2465,2465,0,0,0,0,0,0,0
"Polanco, Jorge",593871,-4.1001584469058665,-4.1001584469058665,-3.802688234691751,-0.24313141946086209,-0.05433879275325226,,,,,1714,0,0,1405,309,0,0,0,0
"Contreras, Willson",575929,-4.123668027096725,,,,,-4.123668027096725,-6.594870679788893,2.6753220859403983,-0.20411943324823595,2292,2292,0,0,0,0,0,0,0
"Wade Jr., LaMonte",664774,-4.173673249419935,-4.173673249419935,-3.0681817288851265,-0.6899341670758051,-0.41555735345900097,,,,,2999,0,2663,0,0,0,208,9,119
"Vargas, Miguel",678246,-4.216462882545851,-4.216462882545851,-5.061166647707793,-0.0023717876295897555,0.8470755527915312,,,,,1886,0,45,1841,0,0,0,0,0
"Torkelson, Spencer",679529,-4.252055951071859,-4.252055951071859,-5.327858689778828,0.22706263698730997,0.8487401017196573,,,,,4099,0,4099,0,0,0,0,0,0
"Yelich, Christian",592885,-4.253045845550142,-4.253045845550142,2.871454495017766,-7.124500340567904,,,,,,3153,0,0,0,0,0,3153,0,0
"Bichette, Bo",666182,-4.31238834838429,-4.31238834838429,-2.054968719809313,0.03830338851508,-2.2957230170900544,,,,,3409,0,0,0,0,3409,0,0,0
"Happ, Ian",664023,-4.331028649006755,-4.331028649006755,-6.493241498148936,2.1622128491421817,,,,,,4015,0,0,0,0,0,4015,0,0
"Muncy, Max",571970,-4.336381634845567,-4.336381634845567,-5.706737333273313,,1.3703556984277447,,,,,3156,0,0,0,3156,0,0,0,0
"Hampson, Garrett",641658,-4.385406129732049,-4.385406129732049,-2.175056190351403,-2.1936549402116663,-0.01669499916897755,,,,,1715,0,0,183,117,651,93,412,259
"Tucker, Kyle",663656,-4.399778901312771,-4.399778901312771,-4.028941738056964,-0.37083716325580673,,,,,,3970,0,0,0,0,0,0,0,3970
"Soto, Juan",665742,-4.451103226645733,-4.451103226645733,-6.166008512821509,1.7149052861757756,,,,,,4035,0,0,0,0,0,4035,0,0
"Walls, Taylor",670764,-4.539670539900367,-4.539670539900367,-4.333878905355068,-0.005690453541164604,-0.20010118100413266,,,,,2376,0,0,875,738,763,0,0,0
"Montero, Elehuris",660707,-4.677917652106403,-4.677917652106403,-4.448727482633155,,-0.2291901694732462,,,,,1661,0,1394,0,267,0,0,0,0
"Merrifield, Whit",593160,-4.708000737449665,-4.708000737449665,-1.598211813174066,-1.395632229013701,-1.7141566952619007,,,,,3679,0,0,1786,0,0,1782,0,111
"García Jr., Luis",671277,-4.745268867418344,-4.745268867418344,-3.218877493409575,0.24090295790053737,-1.7672943319093066,,,,,2988,0,0,2988,0,0,0,0,0
"India, Jonathan",663697,-4.772585576659666,-4.772585576659666,-4.424810083021743,,-0.3477754936379223,,,,,2680,0,0,2680,0,0,0,0,0
"Reynolds, Bryan",668804,-4.787559227643942,-4.787559227643942,-3.1560636456383833,-1.6314955820055568,,,,,,3237,0,0,0,0,0,2895,342,0
"Marte, Starling",516782,-4.825520040425181,-4.825520040425181,-4.611781826271273,-0.21373821415391026,,,,,,2105,0,0,0,0,0,0,24,2081
"Haase, Eric",606992,-4.826529122630063,-0.966200712679613,-1.5462697686375444,0.5800690559579306,,-3.8603284099504473,-1.814446960845559,-0.7336690084691481,-1.3122124406357392,1902,1482,0,0,0,0,417,0,3
"Pratto, Nick",668472,-4.870945457912029,-4.870945457912029,-4.275598734395006,-0.08436321169421278,-0.5109835118228077,,,,,2168,0,1697,0,0,0,366,0,105
"Devers, Rafael",646240,-5.019845428936402,-5.019845428936402,-6.101212013111837,0.7161957176754306,0.36517086650000624,,,,,3882,0,0,0,3879,3,0,0,0
"Vaughn, Andrew",683734,-5.249657492131095,-5.249657492131095,-4.435810485293198,,-0.8138470068378981,,,,,3688,0,3688,0,0,0,0,0,0
"Grichuk, Randal",545341,-5.523985011577263,-5.523985011577263,-5.875195089302318,0.35121007772505375,,,,,,2692,0,0,0,0,0,1677,437,578
"Brown, Seth",664913,-5.583222024031402,-5.583222024031402,-3.0464445125004196,-2.4698938071226038,-0.0668837044083782,,,,,2108,0,330,0,0,0,528,0,1250
"Wisdom, Patrick",621550,-5.9629630636827375,-5.9629630636827375,-5.683405142151374,-0.3530537133669095,0.07349579183554773,,,,,1772,0,231,6,1382,0,63,0,90
"Escobar, Eduardo",500871,-5.967495333948267,-5.967495333948267,-5.399376913651205,,-0.5681184202970636,,,,,1893,0,114,324,1441,3,0,0,0
"Matos, Luis",682641,-6.029736833319133,-6.029736833319133,-4.253122045966853,-1.7766147873522744,,,,,,1744,0,0,0,0,0,153,1314,277
"Grossman, Robbie",543257,-6.0367930052939816,-6.0367930052939816,-4.526176974354149,-1.5106160309398333,,,,,,1571,0,0,0,0,0,966,0,605
"Sheets, Gavin",657757,-6.298969072466241,-6.298969072466241,-2.9768961430710243,-2.929280812594796,-0.39279211680042525,,,,,1977,0,422,0,0,0,120,0,1435
"Diaz, Jordan",672478,-6.556817590489422,-6.556817590489422,-6.4320807626134835,-0.08132378321720568,-0.04341304465873344,,,,,1625,0,129,582,914,0,0,0,0
"Castro, Rodolfo",666801,-6.5585687651866476,-6.5585687651866476,-4.838630244603784,0.0005427447251497333,-1.7204812653080135,,,,,1682,0,0,701,279,702,0,0,0
"Burleson, Alec",676475,-6.570882242680928,-6.570882242680928,-7.820958208208481,1.1066778331231437,0.14339813240440846,,,,,1480,0,316,0,0,0,893,0,266
"Wong, Connor",657136,-6.618652735336734,-0.6659850346005592,-0.6659850346005592,,,-5.952667700736175,-6.977497631696266,2.674994980200079,-1.6501650492399915,2847,2832,0,15,0,0,0,0,0
"Burger, Jake",669394,-6.739368761156604,-6.739368761156604,-6.143132347729231,,-0.5962364134273734,,,,,2727,0,69,114,2544,0,0,0,0
"Arozarena, Randy",668227,-6.7845574503758534,-6.7845574503758534,-3.934808252759649,-2.8497491976162035,,,,,,3659,0,0,0,0,0,3659,0,0
"Urías, Ramón",602104,-6.924980253379211,-6.924980253379211,-6.268440129343869,,-0.6565401240353452,,,,,2596,0,207,399,1990,0,0,0,0
"Kirilloff, Alex",666135,-6.9803294391982575,-6.9803294391982575,-5.136039682124739,-0.9553266615577878,-0.8889630955157305,,,,,1874,0,1530,0,0,0,149,0,195
"Rengifo, Luis",650859,-6.984239162688909,-6.984239162688909,-7.155842953238197,0.35783985411985547,-0.186236063570572,,,,,2770,0,0,1320,439,609,126,66,210
"Perez, Salvador",521692,-7.465444973763563,-0.14226242743347584,-0.12612197627370747,,-0.016140451159768362,-7.323182546330084,-5.942545950447553,-1.2494581037969603,-0.13117849208557392,2761,2215,546,0,0,0,0,0,0
"Abrams, CJ",682928,-7.484129325989054,-7.484129325989054,-6.48628295716625,0.20256997637443752,-1.2004163451972432,,,,,3883,0,0,0,0,3883,0,0,0
"Melendez, MJ",669004,-7.531117685773,-7.089403979641442,-9.126234811557623,2.0368308319161827,,-0.4417137061315595,0.405648528589508,-0.7762431792753186,-0.0711190554457488,3337,206,3,0,0,0,1359,0,1769
"Castellanos, Nick",592206,-8.063513040484086,-8.063513040484086,-4.565320992595717,-3.4981920478883684,,,,,,3877,0,0,0,0,0,0,0,3877
"Casas, Triston",671213,-8.493204399671155,-8.493204399671155,-7.527579010744472,0.007203653331358479,-0.9728290422580426,,,,,3111,0,3111,0,0,0,0,0,0
"Knizner, Andrew",668800,-8.517798975408324,,,,,-8.517798975408324,-7.232624859149593,-1.2158998458396453,-0.06927427041908038,1698,1695,3,0,0,0,0,0,0
"Crawford, J.P.",641487,-8.623257560968089,-8.623257560968089,-6.73012309387212,-0.001247781690372961,-1.891886685405592,,,,,3780,0,0,0,0,3780,0,0,0
"Jeffers, Ryan",680777,-8.641986667433219,,,,,-8.641986667433219,-4.3907041941938045,-3.0834466746836924,-1.1678357985557324,1975,1975,0,0,0,0,0,0,0
"Senzel, Nick",669222,-8.69295451777826,-8.69295451777826,-7.452190848790886,-1.614256868622056,0.3734931996346841,,,,,2037,0,0,72,1098,0,357,276,234
"Turner, Trea",607208,-8.705761659186212,-8.705761659186212,-3.624308380187185,0.17094153456528655,-5.252394813564312,,,,,4027,0,0,0,0,4027,0,0,0
"Díaz, Elias",553869,-9.086933193442892,,,,,-9.086933193442892,-12.783844305714384,3.1362898746254873,0.560621237645993,3014,3014,0,0,0,0,0,0,0
"Maton, Nick",665155,-9.093734284699575,-9.093734284699575,-8.248062695740908,0.10842565012747024,-0.9540972390861389,,,,,1611,0,0,513,1053,45,0,0,0
"Guerrero Jr., Vladimir",665489,-9.398081927888612,-9.398081927888612,-10.232626956120948,0.19349467718076763,0.6410503510515639,,,,,3195,0,3195,0,0,0,0,0,0
"Langeliers, Shea",669127,-9.539654825368457,,,,,-9.539654825368457,-11.133121305527316,4.677187642283248,-3.0837211621244034,3084,3084,0,0,0,0,0,0,0
"Albies, Ozzie",645277,-9.971571268279591,-9.971571268279591,-7.2461066063645365,0.5023621945880599,-3.2278268565031123,,,,,3942,0,0,3942,0,0,0,0,0
"Rosario, Amed",642708,-10.330223738775684,-10.330223738775684,-10.326851189150968,,-0.0033725496247155456,,,,,3128,0,0,570,0,2558,0,0,0
"Realmuto, J.T.",592663,-10.341412220839057,,,,,-10.341412220839057,-14.404222999825832,1.055244974832112,3.0075658041546665,3426,3426,0,0,0,0,0,0,0
"Arraez, Luis",650333,-10.37203282114196,-10.37203282114196,-10.635351875525586,0.19685309753530572,0.06646595684832267,,,,,3642,0,270,3372,0,0,0,0,0
"De La Cruz, Bryan",650559,-10.554977994985755,-10.554977994985755,-7.132330146115691,-3.4226478488700645,,,,,,3898,0,0,0,0,0,3478,126,294
"Stephenson, Tyler",663886,-10.632849744792244,0.2617721701201595,0.2617721701201595,,,-10.894621914912403,-8.563183814765653,-1.6231510856092974,-0.7082870145374501,2226,2109,117,0,0,0,0,0,0
"Walker, Jordan",691023,-10.729228196748235,-10.729228196748235,-11.85757701655528,1.128348819807042,,,,,,2771,0,0,0,0,0,457,0,2314
"Yoshida, Masataka",807799,-11.109522259676428,-11.109522259676428,-6.990953013933799,-4.1185692457426235,,,,,,2140,0,0,0,0,0,2140,0,0
"Frazier, Adam",624428,-11.40219512373842,-11.40219512373842,-11.310959832896184,1.7342606380171686,-1.8254959288594095,,,,,3038,0,0,2846,0,0,69,0,123
"Steer, Spencer",668715,-12.29113027019042,-12.29113027019042,-12.607155249930607,0.2177204767939014,0.09830450294628225,,,,,3892,0,1503,372,1051,0,933,0,33
"Profar, Jurickson",595777,-12.805988844897863,-12.805988844897863,-12.198995026329676,-0.5748146413925327,-0.03217917717565412,,,,,2462,0,93,3,0,0,2336,0,30
"Maldonado, Martín",455117,-13.35932855618523,,,,,-13.35932855618523,-15.64784082739154,1.3822986544515974,0.9062136167547107,3023,3020,0,0,0,0,0,0,0
"Benintendi, Andrew",643217,-14.170485745503738,-14.170485745503738,-9.75113166512181,-4.419354080381932,,,,,,3755,0,0,0,0,0,3755,0,0
"Hernández, Enrique",571771,-14.221586661752365,-14.221586661752365,-13.690687195647575,0.3582586451474473,-0.8891581112522395,,,,,3320,0,96,566,294,1653,186,453,72
"Schwarber, Kyle",656941,-19.28972883172229,-19.28972883172229,-16.35330884195484,-2.9364199897674492,,,,,,2617,0,0,0,0,0,2617,0,0
"Ruiz, Keibert",660688,-22.42861728231056,,,,,-22.42861728231056,-11.839018622351892,-8.172731232253515,-2.4168674277051503,3043,3043,0,0,0,0,0,0,0
