pitch_type,pitch_name,p_throws,baseline_pitches,baseline_pa,velo_mean,velo_sd,ivb_mean,ivb_sd,hb_mean,hb_sd,spin_mean,spin_sd,ext_mean,ext_sd,zone_mean,zone_sd,chase_mean,chase_sd,whiff_mean,whiff_sd,csw_mean,csw_sd,xwoba_mean,xwoba_sd
CH,Changeup,L,1087,282,84.38555657773689,3.656881708365517,4.6891628334866615,5.555297501467811,14.077424103035879,3.2220935033994142,1704.4972170686458,316.5094055460581,6.433210671573137,0.4783441885911641,0.32106715731370744,0.46710144384008134,0.3875338753387534,0.4875176114873529,0.3298059964726631,0.4705576697919399,0.24839006439742412,0.43227809177712384,0.25710344326241136,0.33178300814484557
CH,Changeup,R,1831,478,87.24948115783725,3.157855761326706,3.8881048607318403,4.692048181046373,-15.098503549972692,3.2828918595651966,1789.2389972144847,320.33488649226246,6.436199342825849,0.38300700908441243,0.3113052976515565,0.4631538239785054,0.34099920697858843,0.4742331663128572,0.29931972789115646,0.4582199084404584,0.22282905516111415,0.4162582121438503,0.2547621066945607,0.321559771115851
CS,Slow Curve,R,4,1,69.025,1.1383467544352808,-3.3,2.0979990467109366,17.94,2.823614704594095,2607.75,33.658827470169946,5.825,0.09574271077563393,0.5,0.5773502691896257,0.5,0.7071067811865476,0.3333333333333333,0.5773502691896257,0.25,0.5,0,NA
CU,Curveball,L,491,114,79.36374745417515,3.5015316487375694,-10.185580448065174,5.846256976201118,-8.480162932790224,4.177812724030623,2550.5152749490835,290.03125319079714,6.279633401221996,0.49782452037456254,0.329938900203666,0.4706701652138778,0.3799392097264438,0.48611074338041615,0.26865671641791045,0.4443677379909167,0.31160896130346233,0.46362332731843603,0.30218591228070174,0.3870377441462691
CU,Curveball,R,1163,260,80.32278589853826,3.832130015968226,-10.508718830610489,4.381185481458312,9.951848667239897,5.284168633356943,2607.7059329320728,295.01869806996535,6.379363714531385,0.4588813093448596,0.3594153052450559,0.480035499984899,0.30201342281879195,0.45943949586122823,0.28969957081545067,0.4541103980688204,0.2871883061049011,0.452644843509117,0.3072937846153846,0.409613955409142
FC,Cutter,L,404,86,88.44183168316832,2.544913208167978,8.001980198019801,2.9928238471804622,-1.9232673267326734,2.6984243574216293,2333.9553349875932,203.14025493289955,6.428712871287129,0.36006247973487476,0.4430693069306931,0.4973642539828987,0.29777777777777775,0.45830086465081166,0.19289340101522842,0.3955753415262103,0.24257425742574257,0.4291711752878545,0.35382810465116277,0.34463091596100065
FC,Cutter,R,1411,352,89.86343019135364,2.800173879843415,8.344720056697378,3.723864248238196,2.2015024805102765,3.1928855326552577,2405.307692307693,183.05475516038635,6.434231041814316,0.4193685228165566,0.4649184975194897,0.49894460644743543,0.3125827814569536,0.4638531729072509,0.19136690647482013,0.39366050090086807,0.261516654854713,0.43961649498817096,0.3707336278409091,0.41292170955295154
FF,4-Seam Fastball,L,2027,551,93.44410458806118,2.1439343774751394,15.848939319190922,3.0468893414757514,7.852747903305377,4.057450618955312,2278.977272727273,176.69827741938659,6.4419832264430195,0.4685241933539752,0.49037987173162306,0.5000308023576037,0.3204259438528558,0.4668663186408999,0.16350947158524426,0.37001435838248464,0.25703009373458313,0.43710397174431803,0.3268834845735027,0.4051630220874729
FF,4-Seam Fastball,R,5469,1417,95.08434814408484,2.378389669063993,15.848952276467362,2.773679196817616,-7.980405924300603,3.8769448030171323,2324.48998887653,160.19386431037935,6.508736263736264,0.42068543764477173,0.48016090692996893,0.4996519378142947,0.32254660569820615,0.46753307792026905,0.187316715542522,0.39023709019412833,0.2638507953922106,0.44075965676008844,0.3499385532815808,0.40273732155725944
FS,Split-Finger,L,64,20,83.7046875,2.440038360842089,5.313750000000001,5.084316220355637,10.306875,5.249179187535624,1212.25,242.28711814507932,6.403125,0.38254318150280203,0.15625,0.36596252735569995,0.48148148148148145,0.504348664241606,0.45714285714285713,0.5054326709601877,0.296875,0.46049274850812955,0.13025,0.20256795480971185
