"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Duran, Jarren","680776","2024","735","515",0.285,0.267,0.01799999999999996,0.492,0.456,0.035999999999999976,0.357,0.34,0.01699999999999996
"Ohtani, Shohei","660271","2024","731","479",0.31,0.31,0,0.646,0.672,-0.026000000000000023,0.431,0.444,-0.013000000000000012
"Henderson, Gunnar","683002","2024","719","475",0.281,0.279,0.0020000000000000018,0.529,0.499,0.030000000000000027,0.381,0.375,0.006000000000000005
"Semien, Marcus","543760","2024","718","546",0.237,0.251,-0.014000000000000012,0.391,0.406,-0.015000000000000013,0.306,0.32,-0.014000000000000012
"Soto, Juan","665742","2024","713","461",0.288,0.31,-0.02200000000000002,0.569,0.655,-0.08600000000000008,0.421,0.463,-0.04200000000000004
"Witt Jr., Bobby","677951","2024","709","538",0.332,0.309,0.02300000000000002,0.588,0.583,0.0050000000000000044,0.41,0.407,0.0030000000000000027
"Judge, Aaron","592450","2024","704","390",0.322,0.304,0.018000000000000016,0.701,0.739,-0.038000000000000034,0.476,0.48,-0.0040000000000000036
"Guerrero Jr., Vladimir","665489","2024","697","524",0.323,0.316,0.007000000000000006,0.544,0.578,-0.03399999999999992,0.398,0.412,-0.013999999999999957
"De La Cruz, Elly","682829","2024","696","403",0.259,0.237,0.02200000000000002,0.471,0.437,0.033999999999999975,0.349,0.33,0.01899999999999996
"Tovar, Ezequiel","678662","2024","695","467",0.269,0.231,0.038000000000000006,0.469,0.41,0.059,0.324,0.291,0.03300000000000003
"Alonso, Pete","624413","2024","695","440",0.24,0.239,0.0010000000000000009,0.459,0.47,-0.010999999999999954,0.34,0.345,-0.004999999999999949
"Reynolds, Bryan","668804","2024","692","469",0.275,0.268,0.007000000000000006,0.447,0.472,-0.024999999999999967,0.343,0.353,-0.009999999999999953
"Schwarber, Kyle","656941","2024","692","384",0.248,0.252,-0.0040000000000000036,0.485,0.522,-0.03700000000000003,0.366,0.382,-0.016000000000000014
"Lindor, Francisco","596019","2024","689","494",0.273,0.278,-0.0050000000000000044,0.5,0.539,-0.039000000000000035,0.363,0.381,-0.018000000000000016
"Volpe, Anthony","683011","2024","689","486",0.243,0.232,0.010999999999999982,0.364,0.335,0.02899999999999997,0.287,0.278,0.008999999999999952
"Adames, Willy","642715","2024","688","440",0.251,0.24,0.01100000000000001,0.462,0.468,-0.006000000000000005,0.342,0.341,0.0010000000000000009
"Ozuna, Marcell","542303","2024","688","440",0.302,0.283,0.019000000000000017,0.546,0.583,-0.03699999999999992,0.395,0.404,-0.009000000000000008
"Olson, Matt","621566","2024","685","435",0.247,0.242,0.0050000000000000044,0.457,0.454,0.0030000000000000027,0.339,0.342,-0.0030000000000000027
"Carroll, Corbin","682998","2024","684","471",0.231,0.239,-0.00799999999999998,0.428,0.401,0.02699999999999997,0.325,0.328,-0.0030000000000000027
