"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Realmuto, J.T.","592663","2023","540","356",0.252,0.249,0.0030000000000000027,0.452,0.467,-0.015000000000000013,0.324,0.334,-0.010000000000000009
"Burger, Jake","669394","2023","540","347",0.25,0.264,-0.014000000000000012,0.518,0.517,0.0010000000000000009,0.349,0.359,-0.010000000000000009
"Harris II, Michael","671739","2023","539","408",0.293,0.298,-0.0050000000000000044,0.477,0.494,-0.017000000000000015,0.345,0.356,-0.01100000000000001
"Seager, Corey","608369","2023","536","395",0.327,0.303,0.02400000000000002,0.623,0.62,0.0030000000000000027,0.419,0.411,0.008000000000000007
"Suwinski, Jack","669261","2023","534","281",0.224,0.214,0.010000000000000009,0.454,0.465,-0.01100000000000001,0.341,0.346,-0.004999999999999949
"Arcia, Orlando","606115","2023","533","389",0.264,0.242,0.02200000000000002,0.42,0.396,0.023999999999999966,0.321,0.306,0.015000000000000013
"Vierling, Matt","663837","2023","530","369",0.261,0.263,-0.0020000000000000018,0.388,0.397,-0.009000000000000008,0.315,0.322,-0.007000000000000006
"Estrada, Thairo","642731","2023","530","377",0.271,0.246,0.025000000000000022,0.416,0.373,0.04299999999999998,0.316,0.293,0.02300000000000002
"India, Jonathan","663697","2023","529","352",0.244,0.248,-0.0040000000000000036,0.407,0.425,-0.018000000000000016,0.327,0.338,-0.01100000000000001
"Edman, Tommy","669242","2023","528","402",0.248,0.259,-0.01100000000000001,0.399,0.393,0.006000000000000005,0.306,0.312,-0.006000000000000005
"Díaz, Elias","553869","2023","526","372",0.267,0.242,0.025000000000000022,0.409,0.379,0.02999999999999997,0.314,0.296,0.018000000000000016
"Rooker, Brent","667670","2023","526","295",0.246,0.233,0.012999999999999984,0.488,0.479,0.009000000000000008,0.348,0.342,0.00599999999999995
"Hayes, Ke'Bryan","663647","2023","525","393",0.271,0.265,0.006000000000000005,0.453,0.442,0.01100000000000001,0.324,0.322,0.0020000000000000018
"Anderson, Tim","641313","2023","524","373",0.245,0.25,-0.0050000000000000044,0.296,0.337,-0.041000000000000036,0.26,0.28,-0.020000000000000018
"Drury, Brandon","592273","2023","523","354",0.262,0.247,0.015000000000000013,0.497,0.443,0.05399999999999999,0.339,0.317,0.02200000000000002
"Cronenworth, Jake","630105","2023","522","367",0.229,0.234,-0.0050000000000000044,0.378,0.374,0.0040000000000000036,0.301,0.306,-0.0050000000000000044
"Profar, Jurickson","595777","2023","521","374",0.242,0.245,-0.0030000000000000027,0.368,0.352,0.016000000000000014,0.304,0.307,-0.0030000000000000027
"Wade Jr., LaMonte","664774","2023","519","342",0.256,0.258,-0.0020000000000000018,0.417,0.456,-0.039000000000000035,0.347,0.361,-0.014000000000000012
"McKinstry, Zach","656716","2023","518","356",0.231,0.243,-0.011999999999999983,0.351,0.401,-0.050000000000000044,0.289,0.312,-0.02300000000000002
"Straw, Myles","664702","2023","518","377",0.238,0.239,-0.0010000000000000009,0.297,0.302,-0.0050000000000000044,0.268,0.273,-0.0050000000000000044
"Stephenson, Tyler","663886","2023","517","331",0.243,0.24,0.0030000000000000027,0.378,0.401,-0.02300000000000002,0.305,0.314,-0.009000000000000008
"Rosario, Eddie","592696","2023","516","359",0.255,0.25,0.0050000000000000044,0.45,0.44,0.010000000000000009,0.322,0.317,0.0050000000000000044
"Jung, Josh","673962","2023","515","329",0.266,0.254,0.01200000000000001,0.467,0.481,-0.013999999999999957,0.334,0.334,0
"Garcia, Maikel","672580","2023","515","360",0.272,0.27,0.0020000000000000018,0.358,0.397,-0.039000000000000035,0.299,0.32,-0.02100000000000002
"Hernández, Enrique","571771","2023","508","374",0.237,0.222,0.014999999999999986,0.357,0.338,0.01899999999999996,0.282,0.273,0.008999999999999952
"Canha, Mark","592192","2023","507","362",0.262,0.244,0.018000000000000016,0.4,0.383,0.017000000000000015,0.333,0.323,0.010000000000000009
"Nootbaar, Lars","663457","2023","503","331",0.261,0.262,-0.0010000000000000009,0.418,0.442,-0.02400000000000002,0.344,0.357,-0.013000000000000012
"Casas, Triston","671213","2023","502","305",0.263,0.249,0.014000000000000012,0.49,0.502,-0.01200000000000001,0.367,0.37,-0.0030000000000000027
"Heim, Jonah","641680","2023","501","364",0.258,0.252,0.006000000000000005,0.438,0.438,0,0.324,0.325,-0.0010000000000000009
"Lowe, Josh","666139","2023","501","345",0.292,0.27,0.021999999999999964,0.5,0.479,0.02100000000000002,0.354,0.339,0.014999999999999958
"Ruiz, Esteury","665923","2023","497","355",0.254,0.234,0.01999999999999999,0.345,0.324,0.020999999999999963,0.29,0.275,0.014999999999999958
"Alvarez, Yordan","670541","2023","496","322",0.293,0.292,0.0010000000000000009,0.583,0.632,-0.049000000000000044,0.415,0.436,-0.02100000000000002
"Noda, Ryan","676116","2023","495","238",0.229,0.209,0.020000000000000018,0.406,0.396,0.010000000000000009,0.342,0.334,0.008000000000000007
"Naylor, Josh","647304","2023","495","391",0.308,0.287,0.02100000000000002,0.489,0.48,0.009000000000000008,0.354,0.345,0.009000000000000008
"Perdomo, Geraldo","672695","2023","495","339",0.246,0.203,0.04299999999999998,0.359,0.277,0.08199999999999996,0.319,0.277,0.04199999999999998
"Contreras, Willson","575929","2023","495","320",0.264,0.275,-0.01100000000000001,0.467,0.498,-0.030999999999999972,0.358,0.375,-0.017000000000000015
"Dubón, Mauricio","643289","2023","492","400",0.278,0.271,0.007000000000000006,0.411,0.392,0.01899999999999996,0.311,0.303,0.008000000000000007
"Kepler, Max","596146","2023","491","336",0.26,0.266,-0.006000000000000005,0.484,0.507,-0.02300000000000002,0.348,0.362,-0.014000000000000012
"Franco, Wander","677551","2023","491","377",0.281,0.296,-0.014999999999999958,0.475,0.488,-0.013000000000000012,0.349,0.365,-0.016000000000000014
"Langeliers, Shea","669127","2023","490","308",0.205,0.208,-0.0030000000000000027,0.413,0.429,-0.016000000000000014,0.29,0.299,-0.009000000000000008
"Jiménez, Eloy","650391","2023","489","365",0.272,0.253,0.019000000000000017,0.441,0.428,0.013000000000000012,0.325,0.314,0.01100000000000001
"García Jr., Luis","671277","2023","482","395",0.266,0.259,0.007000000000000006,0.385,0.409,-0.023999999999999966,0.297,0.309,-0.01200000000000001
"Pham, Tommy","502054","2023","481","326",0.256,0.278,-0.02200000000000002,0.446,0.475,-0.02899999999999997,0.332,0.359,-0.02699999999999997
"Martinez, J.D.","502110","2023","479","292",0.271,0.265,0.006000000000000005,0.572,0.554,0.017999999999999905,0.369,0.367,0.0020000000000000018
"McCutchen, Andrew","457705","2023","473","294",0.256,0.25,0.006000000000000005,0.397,0.406,-0.009000000000000008,0.345,0.35,-0.0050000000000000044
"Marsh, Brandon","669016","2023","472","265",0.277,0.229,0.048000000000000015,0.458,0.394,0.064,0.358,0.322,0.035999999999999976
"Joe, Connor","656582","2023","472","304",0.247,0.244,0.0030000000000000027,0.421,0.406,0.014999999999999958,0.332,0.328,0.0040000000000000036
"Grichuk, Randal","545341","2023","471","340",0.267,0.259,0.008000000000000007,0.459,0.436,0.02300000000000002,0.333,0.325,0.008000000000000007
"Mountcastle, Ryan","663624","2023","470","323",0.27,0.266,0.0040000000000000036,0.452,0.506,-0.05399999999999999,0.333,0.356,-0.022999999999999965
"Conforto, Michael","624424","2023","470","304",0.239,0.241,-0.0020000000000000018,0.384,0.42,-0.035999999999999976,0.315,0.33,-0.015000000000000013
"Walker, Jordan","691023","2023","465","318",0.276,0.263,0.013000000000000012,0.445,0.43,0.015000000000000013,0.341,0.332,0.009000000000000008
"Gorman, Nolan","669357","2023","464","260",0.236,0.231,0.004999999999999977,0.478,0.498,-0.020000000000000018,0.345,0.351,-0.006000000000000005
"Massey, Michael","686681","2023","461","334",0.229,0.257,-0.027999999999999997,0.381,0.434,-0.05299999999999999,0.283,0.318,-0.03500000000000003
"Carpenter, Kerry","681481","2023","459","304",0.278,0.254,0.02400000000000002,0.471,0.468,0.002999999999999947,0.347,0.338,0.008999999999999952
"Judge, Aaron","592450","2023","458","240",0.267,0.286,-0.01899999999999996,0.613,0.729,-0.11599999999999999,0.42,0.466,-0.04600000000000004
"McCormick, Chas","676801","2023","457","289",0.273,0.241,0.03200000000000003,0.489,0.458,0.030999999999999972,0.362,0.34,0.021999999999999964
"Cooper, Garrett","643265","2023","457","292",0.251,0.248,0.0030000000000000027,0.419,0.433,-0.014000000000000012,0.313,0.317,-0.0040000000000000036
"Frazier, Adam","624428","2023","455","350",0.24,0.259,-0.019000000000000017,0.396,0.363,0.03300000000000003,0.302,0.301,0.0010000000000000009
"Brennan, Will","686823","2023","455","377",0.266,0.285,-0.01899999999999996,0.356,0.38,-0.02400000000000002,0.285,0.306,-0.02100000000000002
"Mullins, Cedric","656775","2023","455","310",0.233,0.224,0.009000000000000008,0.416,0.359,0.056999999999999995,0.311,0.291,0.020000000000000018
"Flores, Wilmer","527038","2023","454","345",0.284,0.254,0.02999999999999997,0.509,0.443,0.066,0.368,0.335,0.032999999999999974
"Solano, Donovan","456781","2023","450","295",0.282,0.279,0.002999999999999947,0.391,0.43,-0.03899999999999998,0.338,0.351,-0.012999999999999956
"Turang, Brice","668930","2023","448","315",0.218,0.222,-0.0040000000000000036,0.3,0.322,-0.02200000000000002,0.262,0.275,-0.013000000000000012
"Rengifo, Luis","650859","2023","445","316",0.264,0.242,0.02200000000000002,0.444,0.405,0.03899999999999998,0.339,0.323,0.016000000000000014
"Call, Alex","669743","2023","439","302",0.2,0.208,-0.00799999999999998,0.307,0.335,-0.028000000000000025,0.28,0.294,-0.013999999999999957
"Duran, Ezequiel","677649","2023","439","289",0.276,0.253,0.02300000000000002,0.443,0.438,0.0050000000000000044,0.33,0.32,0.010000000000000009
"Murphy, Sean","669221","2023","438","273",0.251,0.267,-0.016000000000000014,0.478,0.54,-0.062000000000000055,0.366,0.393,-0.027000000000000024
"Lowe, Brandon","664040","2023","436","261",0.231,0.229,0.0020000000000000018,0.443,0.447,-0.0040000000000000036,0.334,0.338,-0.0040000000000000036
"Ramírez, Harold","623912","2023","434","327",0.313,0.267,0.045999999999999985,0.46,0.413,0.04700000000000004,0.349,0.318,0.030999999999999972
"Doyle, Brenton","686668","2023","431","254",0.203,0.197,0.006000000000000005,0.343,0.344,-0.0009999999999999454,0.257,0.258,-0.0010000000000000009
"Peterson, Jace","607054","2023","430","278",0.211,0.212,-0.0010000000000000009,0.307,0.334,-0.027000000000000024,0.275,0.287,-0.011999999999999955
"Morel, Christopher","666624","2023","429","258",0.247,0.239,0.008000000000000007,0.508,0.491,0.017000000000000015,0.347,0.34,0.006999999999999951
"De La Cruz, Elly","682829","2023","427","246",0.235,0.238,-0.0030000000000000027,0.41,0.396,0.013999999999999957,0.305,0.305,0
"Pederson, Joc","592626","2023","425","272",0.235,0.258,-0.02300000000000002,0.416,0.489,-0.07300000000000001,0.331,0.367,-0.035999999999999976
"Jones, Nolan","666134","2023","424","242",0.297,0.246,0.05099999999999999,0.542,0.502,0.040000000000000036,0.395,0.362,0.03300000000000003
"Berti, Jon","542932","2023","424","316",0.294,0.278,0.01599999999999996,0.405,0.411,-0.00599999999999995,0.325,0.324,0.0010000000000000009
