"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Bailey, Patrick",672275,31.421884861506083,,,,,31.421884861506083,25.0607254286453,5.194740113181285,1.166419319679499,3089,3089,0,0,0,0,0,0,0
"Kirk, Alejandro",672386,22.112524018404947,,,,,22.112524018404947,16.63048293373675,0.2707523977263821,5.211288686941805,2896,2896,0,0,0,0,0,0,0
"Rafaela, Ceddanne",678882,21.803378794846353,21.803378794846353,19.46605822971813,2.2341603588131145,0.1031602063150883,,,,,3997,0,0,495,0,0,0,3502,0
"Crow-Armstrong, Pete",691718,21.05374632326431,21.05374632326431,18.5056151373093,2.548131185955007,,,,,,4071,0,0,0,0,0,0,4071,0
"Witt Jr., Bobby",677951,20.023853006454047,20.023853006454047,18.323837179328468,-0.004835429815540239,1.704851256941115,,,,,4020,0,0,0,0,4020,0,0,0
"Hayes, Ke'Bryan",663647,17.212700587147985,17.212700587147985,16.319180657129582,,0.8935199300184007,,,,,3849,0,0,0,3849,0,0,0,0
"Dubón, Mauricio",643289,17.127915192999428,17.127915192999428,14.704912355584407,1.6526060788383579,0.7703967585766605,,,,,2882,0,39,954,423,619,526,267,54
"Winn, Masyn",691026,16.881136304874612,16.881136304874612,16.016954465569103,-0.21648872029752203,1.0806705596030317,,,,,3323,0,0,0,0,3323,0,0,0
"Young, Jacob",696285,14.647137536216574,14.647137536216574,12.862674731421565,1.784462804795007,,,,,,2704,0,0,0,0,0,0,2704,0
"Garcia, Maikel",672580,13.276127699734808,13.276127699734808,12.565497863650595,0.09110187490653426,0.6195279611776765,,,,,4010,0,0,198,3434,266,0,88,24
"Hoerner, Nico",663538,12.703245090238477,12.703245090238477,11.459364459855811,-0.036910656638302,1.2807912870209686,,,,,4089,0,0,3978,0,111,0,0,0
"Allen, Nick",669397,12.557508798406097,12.557508798406097,12.74860932563925,0.0770182062686657,-0.26811873350182225,,,,,3212,0,0,75,0,3137,0,0,0
"Narváez, Carlos",665966,12.201001573251965,,,,,12.201001573251965,4.977671568157486,5.82288922143825,1.4004407836562245,2856,2856,0,0,0,0,0,0,0
"Scott II, Victor",687363,12.090571074129809,12.090571074129809,15.213550256019202,-3.12297918188939,,,,,,3354,0,0,0,0,0,63,3263,28
"Pages, Andy",681624,12.053920373004809,12.053920373004809,8.980873269827832,3.073047103176969,,,,,,4107,0,0,0,0,0,459,2919,729
"Wells, Austin",669224,11.617170166774748,,,,,11.617170166774748,11.873298785617932,-0.2439033510817256,-0.012225267761464709,3003,3003,0,0,0,0,0,0,0
"Dingler, Dillon",693307,11.549703790861741,,,,,11.549703790861741,6.668246527101864,2.439086989005598,2.442370274754277,3035,3035,0,0,0,0,0,0,0
"Kwan, Steven",680757,11.522679063440053,11.522679063440053,4.763639291657994,6.7590397717820565,,,,,,3987,0,0,0,0,0,3984,3,0
"Torrens, Luis",620443,10.970575799965191,,,,,10.970575799965191,3.8198979728679783,7.508030698277821,-0.3573528711806026,1930,1922,6,0,0,0,0,0,0
"Doyle, Brenton",686668,10.827799031955333,10.827799031955333,5.426754398559964,5.401044633395368,,,,,,3272,0,0,0,0,0,0,3272,0
"Turner, Trea",607208,10.493925116817275,10.493925116817275,12.04409898845758,0.48845706047713855,-2.0386309321174423,,,,,3649,0,0,0,0,3649,0,0,0
"Isbel, Kyle",664728,10.332451595763036,10.332451595763036,10.8574777645232,-0.5250261687601634,,,,,,3096,0,0,0,0,0,0,3096,0
"Ortiz, Joey",687401,10.240044423882216,10.240044423882216,9.076467274606635,0.061741943752810634,1.101835205522769,,,,,3653,0,0,0,0,3653,0,0,0
"Clement, Ernie",676391,9.782967587572255,9.782967587572255,9.647679705888612,0.0006849383075031713,0.13460294337613896,,,,,3796,0,207,1270,1809,510,0,0,0
"Rodríguez, Julio",677594,9.701506210323805,9.701506210323805,8.937802821230555,0.763703389093248,,,,,,4219,0,0,0,0,0,0,4219,0
"Tatis Jr., Fernando",665487,9.303921770968499,9.303921770968499,7.226291297600587,2.077630473367913,,,,,,3897,0,0,0,0,0,0,0,3897
"Langford, Wyatt",694671,9.194785994627724,9.194785994627724,8.77541973748542,0.4193662571422982,,,,,,3482,0,0,0,0,0,2524,958,0
"Bellinger, Cody",641355,9.096393846935609,9.096393846935609,5.686886140526903,3.2430414794513913,0.16646622695730665,,,,,3965,0,80,0,0,0,1718,919,1248
"Straw, Myles",664702,8.61331250883268,8.61331250883268,8.525641765604579,0.08767074322810145,,,,,,2101,0,0,6,0,0,363,1597,135
"Abreu, Wilyer",677800,8.437508569624239,8.437508569624239,6.974527481425296,1.4629810881989422,,,,,,2542,0,0,0,0,0,0,0,2542
"Schneemann, Daniel",682177,8.433904230411942,8.433904230411942,6.305297705917888,1.1821618500711373,0.9464446744229165,,,,,2800,0,0,1544,424,162,90,403,177
"Moreno, Gabriel",672515,8.198434955555163,,,,,8.198434955555163,6.390166646898938,0.5676088510438948,1.2406594576123298,1794,1794,0,0,0,0,0,0,0
"Taylor, Tyrone",621438,8.041903240901274,8.041903240901274,3.0326721173706264,5.009231123530646,,,,,,2430,0,0,0,0,0,69,2349,12
"Olson, Matt",621566,7.624390932424745,7.624390932424745,6.733892482836674,-0.2299324108054238,1.1204308603934963,,,,,4287,0,4287,0,0,0,0,0,0
"Meyers, Jake",676694,7.580587162854697,7.580587162854697,8.429077737391909,-0.8484905745372132,,,,,,2532,0,0,0,0,0,0,2532,0
"France, Ty",664034,7.249503620207481,7.249503620207481,7.212196259062489,,0.03730736114498845,,,,,2933,0,2930,3,0,0,0,0,0
"Edman, Tommy",669242,7.154015131171062,7.154015131171062,5.999756499346964,1.3333538489068613,-0.17909521708276072,,,,,2416,0,0,1576,303,0,0,537,0
"Robert Jr., Luis",673357,6.928778832740001,6.928778832740001,6.269529520936577,0.6592493118034282,,,,,,2597,0,0,0,0,0,0,2597,0
"Raleigh, Cal",663728,6.917218847791612,,,,,6.917218847791612,7.025735412960609,0.9938380681451718,-1.1023546333141707,3216,3216,0,0,0,0,0,0,0
"Bogaerts, Xander",593428,6.597427068619414,6.597427068619414,5.399083459118861,0.2595587780622526,0.9387848314382992,,,,,3250,0,0,0,0,3250,0,0,0
"McMahon, Ryan",641857,6.596123523433076,6.596123523433076,4.856217003731439,0.5146779820598031,1.225228537641836,,,,,3795,0,0,0,3795,0,0,0,0
"Carroll, Corbin",682998,6.5899142425071275,6.5899142425071275,9.162657891256051,-2.5727436487489284,,,,,,3655,0,0,0,0,0,0,87,3568
"Harris II, Michael",671739,6.528910510062543,6.528910510062543,7.522822320926943,-0.9939118108643993,,,,,,4191,0,0,0,0,0,0,4191,0
"Giménez, Andrés",665926,6.448837906612361,6.448837906612361,7.5571160851860775,,-1.108278178573715,,,,,2516,0,0,2159,0,357,0,0,0
"Murphy, Sean",669221,6.441321584068565,,,,,6.441321584068565,1.6310436181190635,2.801676990887899,2.0086009750616007,1899,1899,0,0,0,0,0,0,0
"Frelick, Sal",686217,6.41284204504535,6.41284204504535,5.229528688930675,1.1833133561146745,,,,,,3570,0,3,0,3,0,0,213,3351
"Montgomery, Colson",695657,6.407412414787245,6.407412414787245,4.9668021020132676,-0.12797820079040773,1.568588513564385,,,,,1794,0,0,0,286,1508,0,0,0
"Varsho, Daulton",662139,6.219796008891924,6.219796008891924,7.993183002065436,-1.7733869931735122,,,,,,1651,0,0,0,0,0,0,1651,0
"Schuemann, Max",680474,6.1690889133233355,6.1690889133233355,6.167619516148205,0.3049141181857133,-0.3034447210105835,,,,,1501,0,0,606,359,386,111,33,6
"Pagés, Pedro",686780,5.9862067508188765,0.07582764816838505,0.07582764816838505,,,5.9103791026504915,4.950101565350898,1.4355025867326139,-0.4752250494330206,2726,2705,9,12,0,0,0,0,0
"Peña, Jeremy",665161,5.949609404826294,5.949609404826294,6.021582241470497,0.42952939390093514,-0.5015022305451406,,,,,3185,0,0,0,0,3185,0,0,0
"McLain, Matt",680574,5.770799563954071,5.770799563954071,4.447684157362485,0.8057552935782206,0.517360113013364,,,,,3632,0,0,3518,0,114,0,0,0
"Lopez, Otto",672640,5.751795427580911,5.751795427580911,6.927739230917764,0.775007433197251,-1.9509512365340986,,,,,3666,0,0,796,0,2870,0,0,0
"Semien, Marcus",543760,5.737227439911386,5.737227439911386,4.907655672680556,-0.17988462176060951,1.0094563889914392,,,,,3325,0,0,3325,0,0,0,0,0
"Santana, Carlos",467793,5.653599603462991,5.653599603462991,6.271495725002578,,-0.6178961215395867,,,,,2548,0,2545,0,3,0,0,0,0
"Ramírez, José",608070,5.632423345567422,5.632423345567422,4.823056821687839,,0.8093665238795822,,,,,3437,0,0,0,3437,0,0,0,0
"Triolo, Jared",669707,5.1128534958123675,5.1128534958123675,4.855074758428029,0.01004427466905499,0.24773446271528915,,,,,2538,0,348,240,781,1166,0,0,0
"Bader, Harrison",664056,5.09878088208553,5.09878088208553,5.419679486602346,-0.32089860451682284,,,,,,3317,0,0,0,0,0,1488,1706,123
"Lukes, Nathan",664770,4.993797251386309,4.993797251386309,0.841216780968198,4.152580470418113,,,,,,2728,0,0,0,0,0,747,642,1339
"Merrill, Jackson",701538,4.856035426774977,4.856035426774977,2.171099308411621,2.6849361183633573,,,,,,3004,0,0,0,0,0,0,3004,0
"Rojas, Miguel",500743,4.788072483393685,4.788072483393685,3.7926046433371643,0.1713531424529591,0.8241146976035598,,,,,2238,0,9,1360,503,351,0,0,0
"Judge, Aaron",592450,4.735461815950168,4.735461815950168,2.4596723291717972,2.2757894867783706,,,,,,2467,0,0,0,0,0,0,0,2467
"Misner, Kameron",670224,4.611245726222496,4.611245726222496,2.979103919537994,1.6321418066844995,,,,,,1511,0,0,0,0,0,87,1094,330
"Mangum, Jake",663968,4.375460778066523,4.375460778066523,5.233968071577001,-0.8585072935104804,,,,,,2800,0,0,0,0,0,1299,836,665
"Adames, Willy",642715,4.316795334198657,4.316795334198657,3.9126079528788344,0.337677354127294,0.06651002719252785,,,,,4169,0,0,0,0,4169,0,0,0
"Meidroth, Chase",805367,4.3000005829793455,4.3000005829793455,1.8230266088444231,0.19279002821037208,2.2841839459245503,,,,,3058,0,0,1351,0,1707,0,0,0
"O'Hearn, Ryan",656811,4.265927874094218,4.265927874094218,3.4200347948873344,0.454437440273541,0.39145563893334284,,,,,2119,0,1624,0,0,0,48,0,447
"Chapman, Matt",656305,4.061232064104053,4.061232064104053,3.3161899061395212,,0.7450421579645331,,,,,3349,0,0,0,3349,0,0,0,0
"Contreras, Willson",575929,4.056224508128312,4.056224508128312,4.495146432040328,,-0.43892192391201723,,,,,3035,0,3035,0,0,0,0,0,0
"Cruz, Oneil",665833,3.9501927514679234,3.9501927514679234,0.12382437618698183,3.826368375280943,,,,,,3184,0,0,0,0,0,0,3184,0
