"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Bradford, Cody","674003","2023","234","170",0.259,0.24,0.019000000000000017,0.5,0.477,0.02300000000000002,0.333,0.325,0.008000000000000007,"5.30","4.48","0.824"
"Leclerc, José","600917","2023","233","136",0.183,0.183,0,0.292,0.337,-0.04500000000000004,0.261,0.277,-0.016000000000000014,"2.68","3.18","-0.496"
"Webb, Jacob","657097","2023","232","141",0.199,0.213,-0.013999999999999985,0.352,0.357,-0.0050000000000000044,0.294,0.306,-0.01200000000000001,"3.69","3.93","-0.241"
"Weems, Jordan","607179","2023","232","141",0.194,0.221,-0.026999999999999996,0.393,0.43,-0.03699999999999998,0.294,0.32,-0.026000000000000023,"3.62","4.33","-0.708"
"Bard, Daniel","453268","2023","232","128",0.206,0.222,-0.016000000000000014,0.371,0.421,-0.04999999999999999,0.345,0.372,-0.027000000000000024,"4.56","6.12","-1.559"
"Williams, Devin","642207","2023","231","115",0.129,0.168,-0.03900000000000001,0.218,0.289,-0.07099999999999998,0.214,0.255,-0.04100000000000001,"1.53","2.69","-1.156"
"Iglesias, Raisel","628452","2023","231","148",0.238,0.219,0.01899999999999999,0.379,0.376,0.0030000000000000027,0.285,0.276,0.008999999999999952,"2.75","3.16","-0.411"
"Hader, Josh","623352","2023","231","113",0.163,0.156,0.007000000000000006,0.224,0.234,-0.010000000000000009,0.239,0.24,-0.0010000000000000009,"1.28","2.38","-1.102"
"Loup, Aaron","571901","2023","231","164",0.313,0.257,0.055999999999999994,0.462,0.423,0.039000000000000035,0.358,0.321,0.03699999999999998,"6.10","4.36","1.743"
"Shuster, Jared","694363","2023","230","173",0.264,0.265,-0.0010000000000000009,0.438,0.445,-0.007000000000000006,0.341,0.352,-0.010999999999999954,"5.81","5.37","0.44"
"Gallegos, Giovanny","606149","2023","229","158",0.252,0.247,0.0050000000000000044,0.467,0.453,0.014000000000000012,0.322,0.315,0.007000000000000006,"4.42","4.18","0.238"
"Soriano, George","666277","2023","228","148",0.234,0.247,-0.012999999999999984,0.371,0.407,-0.035999999999999976,0.308,0.328,-0.020000000000000018,"3.81","4.58","-0.772"
"Peralta, Wandy","593974","2023","227","140",0.19,0.234,-0.04400000000000001,0.323,0.371,-0.04799999999999999,0.293,0.329,-0.03600000000000003,"2.83","4.61","-1.777"
"Smith, Will","519293","2023","226","154",0.211,0.226,-0.015000000000000013,0.344,0.379,-0.03500000000000003,0.262,0.283,-0.020999999999999963,"4.39","3.33","1.065"
"Blanco, Ronel","669854","2023","226","144",0.251,0.238,0.013000000000000012,0.462,0.447,0.015000000000000013,0.352,0.343,0.008999999999999952,"4.50","5.06","-0.56"
"Chafin, Andrew","605177","2023","224","132",0.231,0.228,0.0030000000000000027,0.41,0.399,0.010999999999999954,0.324,0.321,0.0030000000000000027,"4.73","4.36","0.374"
"Ryu, Hyun Jin","547943","2023","224","171",0.257,0.246,0.01100000000000001,0.447,0.394,0.05299999999999999,0.323,0.304,0.019000000000000017,"3.46","3.87","-0.408"
"Domínguez, Seranthony","622554","2023","224","148",0.246,0.243,0.0030000000000000027,0.374,0.4,-0.026000000000000023,0.318,0.33,-0.01200000000000001,"3.78","4.64","-0.86"
"Hentges, Sam","656529","2023","223","149",0.26,0.262,-0.0020000000000000018,0.338,0.388,-0.04999999999999999,0.292,0.314,-0.02200000000000002,"3.61","4.16","-0.549"
"Lynch IV, Daniel","663738","2023","223","172",0.245,0.265,-0.020000000000000018,0.426,0.467,-0.041000000000000036,0.312,0.339,-0.027000000000000024,"4.64","4.93","-0.287"
"Hernandez, Jose E.","669796","2023","223","138",0.239,0.232,0.0069999999999999785,0.462,0.419,0.04300000000000004,0.329,0.312,0.017000000000000015,"4.97","4.10","0.874"
"Adam, Jason","592094","2023","222","124",0.181,0.215,-0.034,0.342,0.407,-0.06499999999999995,0.283,0.32,-0.03700000000000003,"2.98","4.33","-1.348"
"Woodford, Jake","663765","2023","222","168",0.314,0.298,0.016000000000000014,0.572,0.531,0.040999999999999925,0.404,0.392,0.01200000000000001,"6.23","6.95","-0.719"
"Silseth, Chase","681217","2023","221","137",0.212,0.229,-0.017000000000000015,0.399,0.394,0.0050000000000000044,0.313,0.319,-0.006000000000000005,"3.96","4.30","-0.345"
"Fleming, Josh","676596","2023","221","177",0.281,0.292,-0.010999999999999954,0.467,0.468,-0.0010000000000000009,0.342,0.354,-0.011999999999999955,"4.70","5.44","-0.737"
"Avila, Pedro","658648","2023","220","136",0.23,0.235,-0.004999999999999977,0.337,0.347,-0.009999999999999953,0.304,0.311,-0.007000000000000006,"3.22","4.07","-0.851"
"Wilson, Steven","621051","2023","219","132",0.185,0.179,0.006000000000000005,0.354,0.347,0.007000000000000006,0.289,0.284,0.0050000000000000044,"3.91","3.35","0.556"
"Vasquez, Andrew","607755","2023","219","146",0.247,0.221,0.025999999999999995,0.355,0.353,0.0020000000000000018,0.316,0.307,0.009000000000000008,"3.35","3.96","-0.608"
"Cueto, Johnny","456501","2023","218","161",0.256,0.251,0.0050000000000000044,0.543,0.493,0.050000000000000044,0.362,0.346,0.016000000000000014,"6.02","5.16","0.859"
"Moore, Matt","519043","2023","218","140",0.232,0.212,0.020000000000000018,0.399,0.372,0.027000000000000024,0.296,0.282,0.014000000000000012,"2.56","3.30","-0.737"
"Vesia, Alex","681911","2023","217","134",0.263,0.228,0.035,0.414,0.394,0.019999999999999962,0.318,0.296,0.02200000000000002,"4.35","3.66","0.689"
"Bernardino, Brennan","657514","2023","216","134",0.25,0.24,0.010000000000000009,0.375,0.38,-0.0050000000000000044,0.313,0.312,0.0010000000000000009,"3.20","4.10","-0.903"
"Rogers, Taylor","573124","2023","216","124",0.211,0.205,0.006000000000000005,0.357,0.358,-0.0010000000000000009,0.292,0.292,0,"3.83","3.55","0.282"
"Speier, Gabe","642100","2023","216","138",0.235,0.239,-0.0040000000000000036,0.375,0.388,-0.013000000000000012,0.278,0.288,-0.009999999999999953,"3.79","3.45","0.337"
"Sborz, Josh","622250","2023","215","130",0.219,0.211,0.008000000000000007,0.383,0.368,0.015000000000000013,0.291,0.283,0.008000000000000007,"5.50","3.33","2.173"
"Mayza, Tim","641835","2023","215","147",0.251,0.25,0.0010000000000000009,0.342,0.355,-0.012999999999999956,0.279,0.285,-0.00599999999999995,"1.52","3.38","-1.861"
"Gonzales, Marco","594835","2023","215","163",0.282,0.286,-0.0040000000000000036,0.431,0.445,-0.014000000000000012,0.334,0.349,-0.014999999999999958,"5.22","5.27","-0.05"
"Stanek, Ryne","592773","2023","213","140",0.221,0.218,0.0030000000000000027,0.389,0.407,-0.01799999999999996,0.3,0.31,-0.010000000000000009,"4.09","4.04","0.046"
"Middleton, Keynan","641871","2023","212","124",0.214,0.212,0.0020000000000000018,0.364,0.363,0.0010000000000000009,0.296,0.298,-0.0020000000000000018,"3.38","3.71","-0.335"
"Murphy, Chris","669684","2023","212","145",0.263,0.233,0.03,0.416,0.366,0.04999999999999999,0.321,0.296,0.025000000000000022,"4.91","3.66","1.249"
"Keller, Brad","641745","2023","211","132",0.259,0.23,0.028999999999999998,0.364,0.388,-0.02400000000000002,0.364,0.363,0.0010000000000000009,"4.57","5.77","-1.204"
"Lauer, Eric","641778","2023","211","144",0.292,0.299,-0.007000000000000006,0.616,0.575,0.041000000000000036,0.411,0.405,0.00599999999999995,"6.56","7.54","-0.983"
"Muñoz, Andrés","662253","2023","211","117",0.217,0.202,0.014999999999999986,0.304,0.292,0.01200000000000001,0.279,0.269,0.010000000000000009,"2.94","3.00","-0.061"
"Coulombe, Danny","543056","2023","210","138",0.231,0.217,0.014000000000000012,0.323,0.343,-0.020000000000000018,0.269,0.27,-0.0010000000000000009,"2.81","3.02","-0.215"
"Hoffman, Jeff","656546","2023","208","118",0.158,0.188,-0.03,0.257,0.281,-0.02400000000000002,0.226,0.25,-0.023999999999999994,"2.41","2.58","-0.172"
"Alexander, Scott","518397","2023","208","165",0.282,0.264,0.01799999999999996,0.369,0.38,-0.01100000000000001,0.299,0.296,0.0030000000000000027,"4.66","3.66","0.995"
"Machado, Andrés","600921","2023","207","150",0.282,0.283,-0.0010000000000000009,0.521,0.516,0.0050000000000000044,0.356,0.356,0,"5.22","5.52","-0.3"
"Saucedo, Tayler","642048","2023","207","135",0.234,0.243,-0.00899999999999998,0.309,0.339,-0.030000000000000027,0.298,0.314,-0.016000000000000014,"3.59","4.16","-0.573"
"Ruiz, José","614179","2023","207","141",0.292,0.265,0.02699999999999997,0.522,0.458,0.064,0.385,0.353,0.03200000000000003,"5.89","5.41","0.477"
"Armstrong, Shawn","542888","2023","207","138",0.188,0.205,-0.016999999999999987,0.272,0.316,-0.043999999999999984,0.233,0.256,-0.022999999999999993,"1.39","2.71","-1.325"
"Almonte, Yency","622075","2023","207","131",0.239,0.247,-0.008000000000000007,0.372,0.382,-0.010000000000000009,0.314,0.322,-0.008000000000000007,"5.06","4.39","0.673"
"Marinaccio, Ron","676760","2023","205","114",0.208,0.199,0.00899999999999998,0.357,0.372,-0.015000000000000013,0.315,0.322,-0.007000000000000006,"3.99","4.39","-0.397"
"Cosgrove, Tom","676680","2023","205","137",0.173,0.185,-0.01200000000000001,0.246,0.27,-0.02400000000000002,0.238,0.255,-0.017000000000000015,"1.75","2.69","-0.937"
"May, Trevor","543507","2023","205","133",0.208,0.242,-0.034,0.327,0.39,-0.063,0.29,0.328,-0.038000000000000034,"3.28","4.58","-1.301"
"Schreiber, John","670167","2023","204","122",0.237,0.22,0.016999999999999987,0.399,0.366,0.03300000000000003,0.324,0.312,0.01200000000000001,"3.86","4.10","-0.243"
"Ureña, José","570632","2023","203","151",0.284,0.266,0.01799999999999996,0.597,0.506,0.09099999999999997,0.398,0.364,0.03400000000000003,"6.45","5.81","0.638"
